votesR,seatsR,votesD,seatsD
0,0,0,0
0.541824296799,0.0,0.458175703201,0.0
1.5418242968,0.0,1.4581757032,0.0
2.5418242968,0.0,2.4581757032,0.0
3.5418242968,0.0,3.4581757032,0.0
4.5418242968,0.0,4.4581757032,0.0
5.5418242968,0.0,5.4581757032,0.0
6.5418242968,0.0,6.4581757032,0.0
7.5418242968,0.0,7.4581757032,0.0
8.5418242968,0.0,8.4581757032,0.0
9.5418242968,0.0,9.4581757032,0.0
10.5418242968,0.0,10.4581757032,0.0
11.5418242968,0.0,11.4581757032,0.0
12.5418242968,0.0,12.4581757032,0.0
13.5418242968,0.0,13.4581757032,0.0
14.5418242968,0.0,14.4581757032,0.0
15.5418242968,0.0,15.4581757032,0.0
16.5418242968,0.0,16.4581757032,0.0
17.5418242968,0.0,17.4581757032,0.0
18.5418242968,0.0,18.4581757032,0.0
19.5418242968,0.0,19.4581757032,0.0
20.5418242968,0.0,20.4581757032,0.0
21.5418242968,0.0,21.4581757032,0.0
22.5418242968,0.0,22.4581757032,0.0
23.5418242968,0.0,23.4581757032,0.0
24.5418242968,0.0,24.4581757032,0.0
25.5418242968,0.0,25.4581757032,0.0
26.5418242968,0.0,26.4581757032,0.0
27.5418242968,0.0,27.4581757032,0.0
28.5418242968,0.0,28.4581757032,0.0
29.5418242968,0.0,29.4581757032,0.0
30.5418242968,0.0,30.4581757032,0.0
31.5418242968,0.0,31.4581757032,0.0
32.5418242968,0.0,33.4581757032,0.0
33.5418242968,0.0,34.4581757032,0.0
34.5418242968,0.0,35.4581757032,0.0
35.5418242968,0.0,36.4581757032,0.0
36.5418242968,0.0,37.4581757032,0.0
37.5418242968,0.0,38.4581757032,0.0
38.5418242968,0.0,39.4581757032,0.0
39.5418242968,0.0,40.4581757032,0.0
40.5418242968,0.0,41.4581757032,0.0
41.5418242968,0.0,42.4581757032,0.0
42.5418242968,0.0,43.4581757032,0.0
43.5418242968,0.0,44.4581757032,4.375
44.5418242968,4.175,45.4581757032,16.5
45.5418242968,8.175,46.4581757032,29.425
46.5418242968,11.725,47.4581757032,41.45
47.5418242968,16.3,48.4581757032,54.025
48.5418242968,20.85,49.4581757032,67.125
49.5418242968,25.0,50.4581757032,75.0
50.5418242968,32.875,51.4581757032,79.15
51.5418242968,45.975,52.4581757032,83.7
52.5418242968,58.55,53.4581757032,88.275
53.5418242968,70.575,54.4581757032,91.825
54.5418242968,83.5,55.4581757032,95.825
55.5418242968,95.625,56.4581757032,100.0
56.5418242968,100.0,57.4581757032,100.0
57.5418242968,100.0,58.4581757032,100.0
58.5418242968,100.0,59.4581757032,100.0
59.5418242968,100.0,60.4581757032,100.0
60.5418242968,100.0,61.4581757032,100.0
61.5418242968,100.0,62.4581757032,100.0
62.5418242968,100.0,63.4581757032,100.0
63.5418242968,100.0,64.4581757032,100.0
64.5418242968,100.0,65.4581757032,100.0
65.5418242968,100.0,66.4581757032,100.0
66.5418242968,100.0,67.4581757032,100.0
68.5418242968,100.0,68.4581757032,100.0
69.5418242968,100.0,69.4581757032,100.0
70.5418242968,100.0,70.4581757032,100.0
71.5418242968,100.0,71.4581757032,100.0
72.5418242968,100.0,72.4581757032,100.0
73.5418242968,100.0,73.4581757032,100.0
74.5418242968,100.0,74.4581757032,100.0
75.5418242968,100.0,75.4581757032,100.0
76.5418242968,100.0,76.4581757032,100.0
77.5418242968,100.0,77.4581757032,100.0
78.5418242968,100.0,78.4581757032,100.0
79.5418242968,100.0,79.4581757032,100.0
80.5418242968,100.0,80.4581757032,100.0
81.5418242968,100.0,81.4581757032,100.0
82.5418242968,100.0,82.4581757032,100.0
83.5418242968,100.0,83.4581757032,100.0
84.5418242968,100.0,84.4581757032,100.0
85.5418242968,100.0,85.4581757032,100.0
86.5418242968,100.0,86.4581757032,100.0
87.5418242968,100.0,87.4581757032,100.0
88.5418242968,100.0,88.4581757032,100.0
89.5418242968,100.0,89.4581757032,100.0
90.5418242968,100.0,90.4581757032,100.0
91.5418242968,100.0,91.4581757032,100.0
92.5418242968,100.0,92.4581757032,100.0
93.5418242968,100.0,93.4581757032,100.0
94.5418242968,100.0,94.4581757032,100.0
95.5418242968,100.0,95.4581757032,100.0
96.5418242968,100.0,96.4581757032,100.0
97.5418242968,100.0,97.4581757032,100.0
98.5418242968,100.0,98.4581757032,100.0
99.5418242968,100.0,99.4581757032,100.0
100,100,100,100
