votes,seatsR,seatsD
0,0,0
0.581445816981,0.0,0.0
1.58144581698,0.0,0.0
2.58144581698,0.0,0.0
3.58144581698,0.0,0.0
4.58144581698,0.0,0.0
5.58144581698,0.0,0.0
6.58144581698,0.0,0.0
7.58144581698,0.0,0.0
8.58144581698,0.0,0.0
9.58144581698,0.0,0.0
10.581445817,0.0,0.0
11.581445817,0.0,0.0
12.581445817,0.0,0.0
13.581445817,0.0,0.0
14.581445817,0.0,0.0
15.581445817,0.0,0.0
16.581445817,0.0,0.0
17.581445817,0.0,0.0
18.581445817,0.0,0.0
19.581445817,0.0,0.0
20.581445817,0.0,0.0
21.581445817,0.0,2.76666666667
22.581445817,0.0,5.41666666667
23.581445817,0.0,8.6
24.581445817,0.0,10.5
25.581445817,0.0,14.1333333333
26.581445817,0.0,16.6666666667
27.581445817,0.0,16.6666666667
28.581445817,0.0,16.6666666667
29.581445817,0.0,16.6666666667
30.581445817,0.0,16.6666666667
31.581445817,0.0,16.6666666667
32.581445817,0.0,16.6666666667
33.581445817,0.0,16.6666666667
34.581445817,2.86666666667,16.6666666667
35.581445817,5.61666666667,16.6666666667
36.581445817,8.36666666667,16.6666666667
37.581445817,11.0666666667,16.6666666667
38.581445817,13.7833333333,16.6666666667
39.581445817,19.7666666667,16.6666666667
40.581445817,22.0833333333,16.6666666667
41.581445817,24.9833333333,19.0333333333
42.581445817,27.8833333333,21.8
43.581445817,33.7,25.3833333333
44.581445817,38.9333333333,27.9666666667
45.581445817,44.1833333333,30.9166666667
46.581445817,50.1333333333,33.3333333333
47.581445817,55.65,33.3333333333
48.581445817,60.8,33.3333333333
49.581445817,63.8333333333,36.1666666667
50.581445817,66.6666666667,39.2
51.581445817,66.6666666667,44.35
52.581445817,66.6666666667,49.8666666667
53.581445817,69.0833333333,55.8166666667
54.581445817,72.0333333333,64.25
55.581445817,74.6166666667,69.3666666667
56.581445817,78.2,74.6833333333
57.581445817,80.9666666667,77.8
58.581445817,83.3333333333,80.8333333333
59.581445817,83.3333333333,83.3333333333
60.581445817,83.3333333333,86.2166666667
61.581445817,83.3333333333,88.9333333333
62.581445817,83.3333333333,91.6333333333
64.581445817,83.3333333333,94.3833333333
65.581445817,83.3333333333,97.1333333333
66.581445817,83.3333333333,100.0
67.581445817,83.3333333333,100.0
68.581445817,83.3333333333,100.0
69.581445817,83.3333333333,100.0
70.581445817,83.3333333333,100.0
71.581445817,83.3333333333,100.0
72.581445817,83.3333333333,100.0
73.581445817,83.3333333333,100.0
74.581445817,85.8666666667,100.0
75.581445817,89.5,100.0
76.581445817,91.4,100.0
77.581445817,94.5833333333,100.0
78.581445817,97.2333333333,100.0
79.581445817,100.0,100.0
80.581445817,100.0,100.0
81.581445817,100.0,100.0
82.581445817,100.0,100.0
83.581445817,100.0,100.0
84.581445817,100.0,100.0
85.581445817,100.0,100.0
86.581445817,100.0,100.0
87.581445817,100.0,100.0
88.581445817,100.0,100.0
89.581445817,100.0,100.0
90.581445817,100.0,100.0
91.581445817,100.0,100.0
92.581445817,100.0,100.0
93.581445817,100.0,100.0
94.581445817,100.0,100.0
95.581445817,100.0,100.0
96.581445817,100.0,100.0
97.581445817,100.0,100.0
98.581445817,100.0,100.0
99.581445817,100.0,100.0
100,100,100
