votesR,seatsR,votesD,seatsD
0,0,0,0
0.764617308814,0.0,0.235382691186,0.0
1.76461730881,0.0,1.23538269119,0.0
2.76461730881,0.0,2.23538269119,0.0
3.76461730881,0.0,3.23538269119,0.0
4.76461730881,0.0,4.23538269119,0.0
5.76461730881,0.0,5.23538269119,0.0
6.76461730881,0.0,6.23538269119,0.0
7.76461730881,0.0,7.23538269119,0.0
8.76461730881,0.0,8.23538269119,0.0
9.76461730881,0.0,9.23538269119,0.0
10.7646173088,0.0,10.2353826912,0.0
11.7646173088,0.0,11.2353826912,0.0
12.7646173088,0.0,12.2353826912,0.0
13.7646173088,0.0,13.2353826912,0.0
14.7646173088,0.0,14.2353826912,0.0
15.7646173088,0.0,15.2353826912,0.0
16.7646173088,0.0,16.2353826912,0.0
17.7646173088,0.0,17.2353826912,0.0
18.7646173088,0.0,18.2353826912,0.0
19.7646173088,0.0,19.2353826912,0.0
20.7646173088,0.0,20.2353826912,0.0
21.7646173088,0.0,21.2353826912,0.0
22.7646173088,0.0,22.2353826912,0.0
23.7646173088,0.0,23.2353826912,0.0
24.7646173088,0.0,24.2353826912,0.0
25.7646173088,0.0,25.2353826912,0.0
26.7646173088,0.0,26.2353826912,0.0
27.7646173088,0.0,27.2353826912,0.0
28.7646173088,0.0,28.2353826912,0.0
29.7646173088,0.0,29.2353826912,0.0
30.7646173088,0.0,30.2353826912,0.0
31.7646173088,0.0,31.2353826912,0.0
32.7646173088,0.0,32.2353826912,0.0
33.7646173088,0.0,33.2353826912,0.0
34.7646173088,0.0,34.2353826912,0.0
35.7646173088,0.0,35.2353826912,0.0
36.7646173088,0.0,36.2353826912,0.0
37.7646173088,0.0,37.2353826912,0.0
38.7646173088,0.0,38.2353826912,0.0
39.7646173088,8.95,39.2353826912,0.0
40.7646173088,17.1,40.2353826912,8.25
41.7646173088,26.05,41.2353826912,16.65
43.7646173088,50.0,42.2353826912,24.9
44.7646173088,50.0,43.2353826912,32.4
45.7646173088,50.0,44.2353826912,41.7
46.7646173088,50.0,45.2353826912,50.0
47.7646173088,50.0,46.2353826912,50.0
48.7646173088,50.0,47.2353826912,50.0
49.7646173088,50.0,48.2353826912,50.0
50.7646173088,50.0,49.2353826912,50.0
51.7646173088,50.0,50.2353826912,50.0
52.7646173088,50.0,51.2353826912,50.0
53.7646173088,50.0,52.2353826912,50.0
54.7646173088,50.0,53.2353826912,50.0
55.7646173088,58.3,54.2353826912,50.0
56.7646173088,67.6,55.2353826912,50.0
57.7646173088,75.1,56.2353826912,50.0
58.7646173088,83.35,58.2353826912,73.95
59.7646173088,91.75,59.2353826912,82.9
60.7646173088,100.0,60.2353826912,91.05
61.7646173088,100.0,61.2353826912,100.0
62.7646173088,100.0,62.2353826912,100.0
63.7646173088,100.0,63.2353826912,100.0
64.7646173088,100.0,64.2353826912,100.0
65.7646173088,100.0,65.2353826912,100.0
66.7646173088,100.0,66.2353826912,100.0
67.7646173088,100.0,67.2353826912,100.0
68.7646173088,100.0,68.2353826912,100.0
69.7646173088,100.0,69.2353826912,100.0
70.7646173088,100.0,70.2353826912,100.0
71.7646173088,100.0,71.2353826912,100.0
72.7646173088,100.0,72.2353826912,100.0
73.7646173088,100.0,73.2353826912,100.0
74.7646173088,100.0,74.2353826912,100.0
75.7646173088,100.0,75.2353826912,100.0
76.7646173088,100.0,76.2353826912,100.0
77.7646173088,100.0,77.2353826912,100.0
78.7646173088,100.0,78.2353826912,100.0
79.7646173088,100.0,79.2353826912,100.0
80.7646173088,100.0,80.2353826912,100.0
81.7646173088,100.0,81.2353826912,100.0
82.7646173088,100.0,82.2353826912,100.0
83.7646173088,100.0,83.2353826912,100.0
84.7646173088,100.0,84.2353826912,100.0
85.7646173088,100.0,85.2353826912,100.0
86.7646173088,100.0,86.2353826912,100.0
87.7646173088,100.0,87.2353826912,100.0
88.7646173088,100.0,88.2353826912,100.0
89.7646173088,100.0,89.2353826912,100.0
90.7646173088,100.0,90.2353826912,100.0
91.7646173088,100.0,91.2353826912,100.0
92.7646173088,100.0,92.2353826912,100.0
93.7646173088,100.0,93.2353826912,100.0
94.7646173088,100.0,94.2353826912,100.0
95.7646173088,100.0,95.2353826912,100.0
96.7646173088,100.0,96.2353826912,100.0
97.7646173088,100.0,97.2353826912,100.0
98.7646173088,100.0,98.2353826912,100.0
99.7646173088,100.0,99.2353826912,100.0
100,100,100,100
