votesR,seatsR,votesD,seatsD
0,0,0,0
0.861156274391,0.0,0.138843725609,0.0
1.86115627439,0.0,1.13884372561,0.0
2.86115627439,0.0,2.13884372561,0.0
3.86115627439,0.0,3.13884372561,0.0
4.86115627439,0.0,4.13884372561,0.0
5.86115627439,0.0,5.13884372561,0.0
6.86115627439,0.0,6.13884372561,0.0
7.86115627439,0.0,7.13884372561,0.0
8.86115627439,0.0,8.13884372561,0.0
9.86115627439,0.0,9.13884372561,0.0
10.8611562744,0.0,10.1388437256,0.0
11.8611562744,0.0,11.1388437256,0.0
12.8611562744,0.0,12.1388437256,0.0
13.8611562744,0.0,13.1388437256,0.0
14.8611562744,0.0,14.1388437256,0.0
15.8611562744,0.0,15.1388437256,0.0
16.8611562744,0.0,16.1388437256,0.0
17.8611562744,0.0,17.1388437256,0.0
18.8611562744,0.0,18.1388437256,0.0
19.8611562744,0.0,19.1388437256,0.0
20.8611562744,0.0,20.1388437256,0.0
21.8611562744,0.0,21.1388437256,0.0
22.8611562744,0.0,22.1388437256,0.0
23.8611562744,0.0,23.1388437256,0.0
24.8611562744,0.0,24.1388437256,0.0
25.8611562744,0.0,25.1388437256,0.0
26.8611562744,0.0,26.1388437256,0.0
27.8611562744,0.0,27.1388437256,0.0
28.8611562744,0.0,28.1388437256,0.0
29.8611562744,0.0,29.1388437256,0.0
30.8611562744,0.0,30.1388437256,0.0
31.8611562744,0.0,31.1388437256,0.0
32.8611562744,0.0,32.1388437256,0.0
33.8611562744,0.0,33.1388437256,0.0
34.8611562744,0.0,34.1388437256,2.25
35.8611562744,0.0,35.1388437256,4.15
36.8611562744,0.0,36.1388437256,5.975
37.8611562744,0.0,37.1388437256,8.4625
38.8611562744,0.0,38.1388437256,10.475
39.8611562744,2.075,39.1388437256,12.5
41.8611562744,14.425,40.1388437256,12.5
42.8611562744,18.8,41.1388437256,14.7125
43.8611562744,24.7625,42.1388437256,16.575
44.8611562744,31.0875,43.1388437256,18.5375
45.8611562744,37.425,44.1388437256,20.8
46.8611562744,43.4125,45.1388437256,23.175
47.8611562744,50.0625,46.1388437256,25.0
48.8611562744,56.125,47.1388437256,27.0875
49.8611562744,59.8375,48.1388437256,31.6625
50.8611562744,64.55,49.1388437256,35.45
51.8611562744,68.3375,50.1388437256,40.1625
52.8611562744,72.9125,51.1388437256,43.875
53.8611562744,75.0,52.1388437256,49.9375
54.8611562744,76.825,53.1388437256,56.5875
55.8611562744,79.2,54.1388437256,62.575
56.8611562744,81.4625,55.1388437256,68.9125
57.8611562744,83.425,56.1388437256,75.2375
58.8611562744,85.2875,57.1388437256,81.2
59.8611562744,87.5,58.1388437256,85.575
60.8611562744,87.5,60.1388437256,97.925
61.8611562744,89.525,61.1388437256,100.0
62.8611562744,91.5375,62.1388437256,100.0
63.8611562744,94.025,63.1388437256,100.0
64.8611562744,95.85,64.1388437256,100.0
65.8611562744,97.75,65.1388437256,100.0
66.8611562744,100.0,66.1388437256,100.0
67.8611562744,100.0,67.1388437256,100.0
68.8611562744,100.0,68.1388437256,100.0
69.8611562744,100.0,69.1388437256,100.0
70.8611562744,100.0,70.1388437256,100.0
71.8611562744,100.0,71.1388437256,100.0
72.8611562744,100.0,72.1388437256,100.0
73.8611562744,100.0,73.1388437256,100.0
74.8611562744,100.0,74.1388437256,100.0
75.8611562744,100.0,75.1388437256,100.0
76.8611562744,100.0,76.1388437256,100.0
77.8611562744,100.0,77.1388437256,100.0
78.8611562744,100.0,78.1388437256,100.0
79.8611562744,100.0,79.1388437256,100.0
80.8611562744,100.0,80.1388437256,100.0
81.8611562744,100.0,81.1388437256,100.0
82.8611562744,100.0,82.1388437256,100.0
83.8611562744,100.0,83.1388437256,100.0
84.8611562744,100.0,84.1388437256,100.0
85.8611562744,100.0,85.1388437256,100.0
86.8611562744,100.0,86.1388437256,100.0
87.8611562744,100.0,87.1388437256,100.0
88.8611562744,100.0,88.1388437256,100.0
89.8611562744,100.0,89.1388437256,100.0
90.8611562744,100.0,90.1388437256,100.0
91.8611562744,100.0,91.1388437256,100.0
92.8611562744,100.0,92.1388437256,100.0
93.8611562744,100.0,93.1388437256,100.0
94.8611562744,100.0,94.1388437256,100.0
95.8611562744,100.0,95.1388437256,100.0
96.8611562744,100.0,96.1388437256,100.0
97.8611562744,100.0,97.1388437256,100.0
98.8611562744,100.0,98.1388437256,100.0
99.8611562744,100.0,99.1388437256,100.0
100,100,100,100
