votes,seatsR,seatsD
0,0,0
0.00854659759753,0.0,0.0
1.0085465976,0.0,0.0
2.0085465976,0.0,0.0
3.0085465976,0.0,0.0
4.0085465976,0.0,0.0
5.0085465976,0.0,0.0
6.0085465976,0.0,0.0
7.0085465976,0.0,0.0
8.0085465976,0.0,0.0
9.0085465976,0.0,0.0
10.0085465976,0.0,1.975
11.0085465976,0.0,4.05
12.0085465976,0.0,6.4375
13.0085465976,0.0,8.3625
14.0085465976,0.0,10.3125
15.0085465976,0.0,12.5
16.0085465976,0.0,12.5
17.0085465976,0.0,12.5
18.0085465976,0.0,12.5
19.0085465976,0.0,12.5
20.0085465976,0.0,12.5
21.0085465976,0.0,12.5
22.0085465976,0.0,12.5
23.0085465976,0.0,12.5
24.0085465976,0.0,12.5
25.0085465976,0.0,12.5
26.0085465976,0.0,12.5
27.0085465976,0.0,12.5
28.0085465976,0.0,12.5
29.0085465976,0.0,12.5
30.0085465976,0.0,12.5
31.0085465976,0.0,12.5
32.0085465976,0.0,12.5
33.0085465976,0.0,12.5
34.0085465976,0.0,14.7625
35.0085465976,0.0,16.9375
36.0085465976,0.0,18.725
37.0085465976,0.0,25.0
38.0085465976,2.05,25.0
39.0085465976,6.3,25.0
40.0085465976,12.425,25.0
41.0085465976,19.0125,25.0
42.0085465976,27.0625,25.0
43.0085465976,37.75,25.0
44.0085465976,46.0125,25.0
45.0085465976,54.925,25.0
46.0085465976,60.4125,25.0
47.0085465976,66.45,25.0
48.0085465976,70.8,25.0
49.0085465976,73.3125,25.0
50.0085465976,75.0,26.925
51.0085465976,75.0,29.25
52.0085465976,75.0,33.3375
53.0085465976,75.0,39.1
54.0085465976,75.0,45.1875
55.0085465976,75.0,54.1625
56.0085465976,75.0,62.275
57.0085465976,75.0,72.525
58.0085465976,75.0,81.3625
59.0085465976,75.0,87.5375
60.0085465976,75.0,93.7125
61.0085465976,75.0,97.9625
63.0085465976,79.1375,100.0
64.0085465976,80.9,100.0
65.0085465976,83.3,100.0
66.0085465976,85.5625,100.0
67.0085465976,87.5,100.0
68.0085465976,87.5,100.0
69.0085465976,87.5,100.0
70.0085465976,87.5,100.0
71.0085465976,87.5,100.0
72.0085465976,87.5,100.0
73.0085465976,87.5,100.0
74.0085465976,87.5,100.0
75.0085465976,87.5,100.0
76.0085465976,87.5,100.0
77.0085465976,87.5,100.0
78.0085465976,87.5,100.0
79.0085465976,87.5,100.0
80.0085465976,87.5,100.0
81.0085465976,87.5,100.0
82.0085465976,87.5,100.0
83.0085465976,87.5,100.0
84.0085465976,87.5,100.0
85.0085465976,87.5,100.0
86.0085465976,89.6625,100.0
87.0085465976,91.6375,100.0
88.0085465976,93.8375,100.0
89.0085465976,95.75,100.0
90.0085465976,97.8625,100.0
91.0085465976,100.0,100.0
92.0085465976,100.0,100.0
93.0085465976,100.0,100.0
94.0085465976,100.0,100.0
95.0085465976,100.0,100.0
96.0085465976,100.0,100.0
97.0085465976,100.0,100.0
98.0085465976,100.0,100.0
99.0085465976,100.0,100.0
100,100,100
