votesR,seatsR,votesD,seatsD
0,0,0,0
0.244445116008,0.0,0.755554883991,0.0
1.24444511601,0.0,1.75555488399,0.0
2.24444511601,0.0,2.75555488399,0.0
3.24444511601,0.0,3.75555488399,0.0
4.24444511601,0.0,4.75555488399,0.0
5.24444511601,0.0,5.75555488399,0.0
6.24444511601,0.0,6.75555488399,0.0
7.24444511601,0.0,7.75555488399,0.0
8.24444511601,0.0,8.75555488399,0.0
9.24444511601,0.0,9.75555488399,0.0
10.244445116,0.0,10.755554884,0.0
11.244445116,0.0,11.755554884,0.0
12.244445116,0.0,12.755554884,0.0
13.244445116,0.0,13.755554884,0.0
14.244445116,0.0,14.755554884,0.0
15.244445116,0.0,15.755554884,0.0
16.244445116,0.0,16.755554884,0.0
17.244445116,0.0,17.755554884,0.0
18.244445116,0.0,18.755554884,0.0
19.244445116,0.0,19.755554884,0.0
20.244445116,0.0,20.755554884,0.0
21.244445116,0.0,21.755554884,0.0
22.244445116,0.0,22.755554884,0.0
23.244445116,0.0,23.755554884,0.0
24.244445116,0.0,24.755554884,0.0
25.244445116,0.0,25.755554884,0.0
26.244445116,0.0,26.755554884,0.0
27.244445116,0.0,27.755554884,0.0
28.244445116,0.0,28.755554884,0.0
29.244445116,0.0,29.755554884,0.0
30.244445116,0.0,30.755554884,0.0
31.244445116,0.0,31.755554884,0.0
32.244445116,0.0,32.755554884,0.0
33.244445116,0.0,33.755554884,0.0
34.244445116,0.0,35.755554884,20.875
35.244445116,0.0,36.755554884,25.0
36.244445116,0.0,37.755554884,25.0
37.244445116,0.0,38.755554884,25.0
38.244445116,0.0,39.755554884,25.0
39.244445116,0.0,40.755554884,25.0
40.244445116,4.85,41.755554884,25.0
41.244445116,8.15,42.755554884,25.0
42.244445116,12.825,43.755554884,25.0
43.244445116,20.425,44.755554884,25.0
44.244445116,33.4,45.755554884,25.0
45.244445116,46.075,46.755554884,25.0
46.244445116,54.0,47.755554884,25.0
47.244445116,62.45,48.755554884,25.0
48.244445116,71.2,49.755554884,25.0
49.244445116,75.0,50.755554884,25.0
50.244445116,75.0,51.755554884,28.8
51.244445116,75.0,52.755554884,37.55
52.244445116,75.0,53.755554884,46.0
53.244445116,75.0,54.755554884,53.925
54.244445116,75.0,55.755554884,66.6
55.244445116,75.0,56.755554884,79.575
56.244445116,75.0,57.755554884,87.175
57.244445116,75.0,58.755554884,91.85
58.244445116,75.0,59.755554884,95.15
59.244445116,75.0,60.755554884,100.0
60.244445116,75.0,61.755554884,100.0
61.244445116,75.0,62.755554884,100.0
62.244445116,75.0,63.755554884,100.0
63.244445116,75.0,64.755554884,100.0
64.244445116,79.125,65.755554884,100.0
66.244445116,100.0,66.755554884,100.0
67.244445116,100.0,67.755554884,100.0
68.244445116,100.0,68.755554884,100.0
69.244445116,100.0,69.755554884,100.0
70.244445116,100.0,70.755554884,100.0
71.244445116,100.0,71.755554884,100.0
72.244445116,100.0,72.755554884,100.0
73.244445116,100.0,73.755554884,100.0
74.244445116,100.0,74.755554884,100.0
75.244445116,100.0,75.755554884,100.0
76.244445116,100.0,76.755554884,100.0
77.244445116,100.0,77.755554884,100.0
78.244445116,100.0,78.755554884,100.0
79.244445116,100.0,79.755554884,100.0
80.244445116,100.0,80.755554884,100.0
81.244445116,100.0,81.755554884,100.0
82.244445116,100.0,82.755554884,100.0
83.244445116,100.0,83.755554884,100.0
84.244445116,100.0,84.755554884,100.0
85.244445116,100.0,85.755554884,100.0
86.244445116,100.0,86.755554884,100.0
87.244445116,100.0,87.755554884,100.0
88.244445116,100.0,88.755554884,100.0
89.244445116,100.0,89.755554884,100.0
90.244445116,100.0,90.755554884,100.0
91.244445116,100.0,91.755554884,100.0
92.244445116,100.0,92.755554884,100.0
93.244445116,100.0,93.755554884,100.0
94.244445116,100.0,94.755554884,100.0
95.244445116,100.0,95.755554884,100.0
96.244445116,100.0,96.755554884,100.0
97.244445116,100.0,97.755554884,100.0
98.244445116,100.0,98.755554884,100.0
99.244445116,100.0,99.755554884,100.0
100,100,100,100
