votes,seatsR,seatsD
0,0,0
0.825737957403,0.0,0.0
1.8257379574,0.0,0.0
2.8257379574,0.0,0.0
3.8257379574,0.0,0.0
4.8257379574,0.0,0.0
5.8257379574,0.0,0.0
6.8257379574,0.0,0.0
7.8257379574,0.0,0.0
8.8257379574,0.0,0.0
9.8257379574,0.0,0.0
10.8257379574,0.0,0.0
11.8257379574,0.0,0.0
12.8257379574,0.0,0.0
13.8257379574,0.0,0.0
14.8257379574,0.0,0.0
15.8257379574,0.0,0.0
16.8257379574,0.0,0.0
17.8257379574,0.0,0.0
18.8257379574,0.0,0.0
19.8257379574,0.0,0.0
20.8257379574,0.0,0.0
21.8257379574,0.0,0.0
22.8257379574,0.0,0.0
23.8257379574,0.0,0.0
24.8257379574,0.0,0.0
25.8257379574,0.0,0.0
26.8257379574,0.0,0.0
27.8257379574,0.0,0.0
28.8257379574,0.0,0.0
29.8257379574,0.0,0.0
30.8257379574,0.0,0.0
31.8257379574,0.0,0.0
32.8257379574,0.0,0.0
33.8257379574,0.0,0.0
34.8257379574,0.0,0.0
35.8257379574,0.0,0.0
36.8257379574,0.0,0.0
37.8257379574,0.0,0.0
38.8257379574,0.0,0.0
39.8257379574,0.0,0.0
40.8257379574,0.0,0.0
41.8257379574,0.0,0.0
42.8257379574,0.0,0.0
43.8257379574,0.0,0.0
44.8257379574,0.0,0.0
45.8257379574,0.0,16.3
46.8257379574,0.0,32.7
47.8257379574,0.0,48.3
48.8257379574,0.0,67.9
49.8257379574,16.2,83.8
50.8257379574,32.1,100.0
51.8257379574,51.7,100.0
52.8257379574,67.3,100.0
53.8257379574,83.7,100.0
54.8257379574,100.0,100.0
55.8257379574,100.0,100.0
56.8257379574,100.0,100.0
58.8257379574,100.0,100.0
59.8257379574,100.0,100.0
60.8257379574,100.0,100.0
61.8257379574,100.0,100.0
62.8257379574,100.0,100.0
63.8257379574,100.0,100.0
64.8257379574,100.0,100.0
65.8257379574,100.0,100.0
66.8257379574,100.0,100.0
67.8257379574,100.0,100.0
68.8257379574,100.0,100.0
69.8257379574,100.0,100.0
70.8257379574,100.0,100.0
71.8257379574,100.0,100.0
72.8257379574,100.0,100.0
73.8257379574,100.0,100.0
74.8257379574,100.0,100.0
75.8257379574,100.0,100.0
76.8257379574,100.0,100.0
77.8257379574,100.0,100.0
78.8257379574,100.0,100.0
79.8257379574,100.0,100.0
80.8257379574,100.0,100.0
81.8257379574,100.0,100.0
82.8257379574,100.0,100.0
83.8257379574,100.0,100.0
84.8257379574,100.0,100.0
85.8257379574,100.0,100.0
86.8257379574,100.0,100.0
87.8257379574,100.0,100.0
88.8257379574,100.0,100.0
89.8257379574,100.0,100.0
90.8257379574,100.0,100.0
91.8257379574,100.0,100.0
92.8257379574,100.0,100.0
93.8257379574,100.0,100.0
94.8257379574,100.0,100.0
95.8257379574,100.0,100.0
96.8257379574,100.0,100.0
97.8257379574,100.0,100.0
98.8257379574,100.0,100.0
99.8257379574,100.0,100.0
100,100,100
