votesR,seatsR,votesD,seatsD
0,0,0,0
0.044355172671,0.0,0.955644827329,0.0
1.04435517267,0.0,1.95564482733,0.0
2.04435517267,0.0,2.95564482733,0.0
3.04435517267,0.0,3.95564482733,0.0
4.04435517267,0.0,4.95564482733,0.0
5.04435517267,0.0,5.95564482733,0.0
6.04435517267,0.0,6.95564482733,0.0
7.04435517267,0.0,7.95564482733,0.0
8.04435517267,0.0,8.95564482733,0.0
9.04435517267,0.0,9.95564482733,0.0
10.0443551727,0.0,10.9556448273,0.0
11.0443551727,0.0,11.9556448273,0.0
12.0443551727,0.0,12.9556448273,0.0
13.0443551727,0.0,13.9556448273,0.0
14.0443551727,0.0,14.9556448273,0.0
15.0443551727,0.0,15.9556448273,0.0
16.0443551727,0.0,16.9556448273,0.0
17.0443551727,0.0,17.9556448273,1.33846153846
18.0443551727,0.0,18.9556448273,3.87692307692
19.0443551727,0.0,19.9556448273,6.50769230769
20.0443551727,0.0,20.9556448273,9.16153846154
21.0443551727,0.0,21.9556448273,11.5076923077
22.0443551727,0.0,22.9556448273,14.1692307692
23.0443551727,0.0,23.9556448273,15.3846153846
24.0443551727,0.0,24.9556448273,15.3846153846
25.0443551727,0.0,25.9556448273,15.3846153846
26.0443551727,0.0,26.9556448273,15.3846153846
27.0443551727,0.0,27.9556448273,15.3846153846
28.0443551727,0.0,28.9556448273,15.3846153846
29.0443551727,0.0,29.9556448273,15.3846153846
30.0443551727,0.0,30.9556448273,15.3846153846
31.0443551727,0.0,31.9556448273,15.3846153846
32.0443551727,0.0,32.9556448273,15.3846153846
33.0443551727,0.0,33.9556448273,15.3846153846
34.0443551727,0.0,34.9556448273,15.3846153846
35.0443551727,1.26923076923,35.9556448273,15.3846153846
36.0443551727,2.42307692308,36.9556448273,15.3846153846
37.0443551727,3.83076923077,37.9556448273,15.3846153846
38.0443551727,5.16923076923,38.9556448273,15.3846153846
39.0443551727,7.58461538462,39.9556448273,15.3846153846
40.0443551727,10.2307692308,40.9556448273,15.3846153846
41.0443551727,11.7230769231,41.9556448273,15.3846153846
42.0443551727,15.2307692308,43.9556448273,15.3846153846
43.0443551727,19.2538461538,44.9556448273,15.3846153846
44.0443551727,24.0461538462,45.9556448273,15.3846153846
45.0443551727,32.0846153846,46.9556448273,16.6384615385
46.0443551727,40.0692307692,47.9556448273,20.5
47.0443551727,47.3076923077,48.9556448273,24.6923076923
48.0443551727,55.5384615385,49.9556448273,28.4076923077
49.0443551727,63.9692307692,50.9556448273,36.0307692308
50.0443551727,71.5923076923,51.9556448273,44.4615384615
51.0443551727,75.3076923077,52.9556448273,52.6923076923
52.0443551727,79.5,53.9556448273,59.9307692308
53.0443551727,83.3615384615,54.9556448273,67.9153846154
54.0443551727,84.6153846154,55.9556448273,75.9538461538
55.0443551727,84.6153846154,56.9556448273,80.7461538462
56.0443551727,84.6153846154,57.9556448273,84.7692307692
58.0443551727,84.6153846154,58.9556448273,88.2769230769
59.0443551727,84.6153846154,59.9556448273,89.7692307692
60.0443551727,84.6153846154,60.9556448273,92.4153846154
61.0443551727,84.6153846154,61.9556448273,94.8307692308
62.0443551727,84.6153846154,62.9556448273,96.1692307692
63.0443551727,84.6153846154,63.9556448273,97.5769230769
64.0443551727,84.6153846154,64.9556448273,98.7307692308
65.0443551727,84.6153846154,65.9556448273,100.0
66.0443551727,84.6153846154,66.9556448273,100.0
67.0443551727,84.6153846154,67.9556448273,100.0
68.0443551727,84.6153846154,68.9556448273,100.0
69.0443551727,84.6153846154,69.9556448273,100.0
70.0443551727,84.6153846154,70.9556448273,100.0
71.0443551727,84.6153846154,71.9556448273,100.0
72.0443551727,84.6153846154,72.9556448273,100.0
73.0443551727,84.6153846154,73.9556448273,100.0
74.0443551727,84.6153846154,74.9556448273,100.0
75.0443551727,84.6153846154,75.9556448273,100.0
76.0443551727,84.6153846154,76.9556448273,100.0
77.0443551727,85.8307692308,77.9556448273,100.0
78.0443551727,88.4923076923,78.9556448273,100.0
79.0443551727,90.8384615385,79.9556448273,100.0
80.0443551727,93.4923076923,80.9556448273,100.0
81.0443551727,96.1230769231,81.9556448273,100.0
82.0443551727,98.6615384615,82.9556448273,100.0
83.0443551727,100.0,83.9556448273,100.0
84.0443551727,100.0,84.9556448273,100.0
85.0443551727,100.0,85.9556448273,100.0
86.0443551727,100.0,86.9556448273,100.0
87.0443551727,100.0,87.9556448273,100.0
88.0443551727,100.0,88.9556448273,100.0
89.0443551727,100.0,89.9556448273,100.0
90.0443551727,100.0,90.9556448273,100.0
91.0443551727,100.0,91.9556448273,100.0
92.0443551727,100.0,92.9556448273,100.0
93.0443551727,100.0,93.9556448273,100.0
94.0443551727,100.0,94.9556448273,100.0
95.0443551727,100.0,95.9556448273,100.0
96.0443551727,100.0,96.9556448273,100.0
97.0443551727,100.0,97.9556448273,100.0
98.0443551727,100.0,98.9556448273,100.0
99.0443551727,100.0,99.9556448273,100.0
100,100,100,100
