votesR,seatsR,votesD,seatsD
0,0,0,0
0.624275170281,0.0,0.375724829719,0.0
1.62427517028,0.0,1.37572482972,0.0
2.62427517028,0.0,2.37572482972,0.0
3.62427517028,0.0,3.37572482972,0.0
4.62427517028,0.0,4.37572482972,0.0
5.62427517028,0.0,5.37572482972,0.0
6.62427517028,0.0,6.37572482972,0.0
7.62427517028,0.0,7.37572482972,0.0
8.62427517028,0.0,8.37572482972,0.0
9.62427517028,0.0,9.37572482972,0.0
10.6242751703,0.0,10.3757248297,0.0
11.6242751703,0.0,11.3757248297,0.0
12.6242751703,0.0,12.3757248297,0.0
13.6242751703,0.0,13.3757248297,0.0
14.6242751703,0.0,14.3757248297,0.0
15.6242751703,0.0,15.3757248297,0.0
16.6242751703,0.0,16.3757248297,0.0
17.6242751703,0.0,17.3757248297,0.0
18.6242751703,0.0,18.3757248297,0.0
19.6242751703,0.0,19.3757248297,0.0
20.6242751703,0.0,20.3757248297,0.0
21.6242751703,0.0,21.3757248297,0.0
22.6242751703,0.0,22.3757248297,0.0
23.6242751703,0.0,23.3757248297,0.0
24.6242751703,0.0,24.3757248297,0.0
25.6242751703,0.0,25.3757248297,0.0
26.6242751703,0.0,26.3757248297,0.0
27.6242751703,0.0,27.3757248297,0.0
28.6242751703,0.0,28.3757248297,0.0
29.6242751703,0.0,29.3757248297,0.0
30.6242751703,0.0,30.3757248297,0.0
31.6242751703,0.0,31.3757248297,0.0
32.6242751703,0.0,32.3757248297,0.0
33.6242751703,0.0,33.3757248297,0.0
34.6242751703,0.0,34.3757248297,0.0
35.6242751703,0.0,35.3757248297,0.0
36.6242751703,0.0,36.3757248297,0.0
37.6242751703,0.0,37.3757248297,0.0
38.6242751703,0.0,38.3757248297,0.0
39.6242751703,0.0,39.3757248297,0.0
40.6242751703,0.0,40.3757248297,0.0
41.6242751703,0.0,41.3757248297,0.0
42.6242751703,0.0,42.3757248297,0.0
43.6242751703,0.0,43.3757248297,0.0
44.6242751703,0.0,44.3757248297,0.0
45.6242751703,0.0,46.3757248297,17.1
46.6242751703,0.0,47.3757248297,33.8
47.6242751703,0.0,48.3757248297,45.9
48.6242751703,0.0,49.3757248297,68.4
49.6242751703,16.8,50.3757248297,83.2
50.6242751703,31.6,51.3757248297,100.0
51.6242751703,54.1,52.3757248297,100.0
52.6242751703,66.2,53.3757248297,100.0
53.6242751703,82.9,54.3757248297,100.0
55.6242751703,100.0,55.3757248297,100.0
56.6242751703,100.0,56.3757248297,100.0
57.6242751703,100.0,57.3757248297,100.0
58.6242751703,100.0,58.3757248297,100.0
59.6242751703,100.0,59.3757248297,100.0
60.6242751703,100.0,60.3757248297,100.0
61.6242751703,100.0,61.3757248297,100.0
62.6242751703,100.0,62.3757248297,100.0
63.6242751703,100.0,63.3757248297,100.0
64.6242751703,100.0,64.3757248297,100.0
65.6242751703,100.0,65.3757248297,100.0
66.6242751703,100.0,66.3757248297,100.0
67.6242751703,100.0,67.3757248297,100.0
68.6242751703,100.0,68.3757248297,100.0
69.6242751703,100.0,69.3757248297,100.0
70.6242751703,100.0,70.3757248297,100.0
71.6242751703,100.0,71.3757248297,100.0
72.6242751703,100.0,72.3757248297,100.0
73.6242751703,100.0,73.3757248297,100.0
74.6242751703,100.0,74.3757248297,100.0
75.6242751703,100.0,75.3757248297,100.0
76.6242751703,100.0,76.3757248297,100.0
77.6242751703,100.0,77.3757248297,100.0
78.6242751703,100.0,78.3757248297,100.0
79.6242751703,100.0,79.3757248297,100.0
80.6242751703,100.0,80.3757248297,100.0
81.6242751703,100.0,81.3757248297,100.0
82.6242751703,100.0,82.3757248297,100.0
83.6242751703,100.0,83.3757248297,100.0
84.6242751703,100.0,84.3757248297,100.0
85.6242751703,100.0,85.3757248297,100.0
86.6242751703,100.0,86.3757248297,100.0
87.6242751703,100.0,87.3757248297,100.0
88.6242751703,100.0,88.3757248297,100.0
89.6242751703,100.0,89.3757248297,100.0
90.6242751703,100.0,90.3757248297,100.0
91.6242751703,100.0,91.3757248297,100.0
92.6242751703,100.0,92.3757248297,100.0
93.6242751703,100.0,93.3757248297,100.0
94.6242751703,100.0,94.3757248297,100.0
95.6242751703,100.0,95.3757248297,100.0
96.6242751703,100.0,96.3757248297,100.0
97.6242751703,100.0,97.3757248297,100.0
98.6242751703,100.0,98.3757248297,100.0
99.6242751703,100.0,99.3757248297,100.0
100,100,100,100
