votesR,seatsR,votesD,seatsD
0,0,0,0
0.787757817698,0.0,0.212242182302,0.0
1.7877578177,0.0,1.2122421823,0.0
2.7877578177,0.0,2.2122421823,0.0
3.7877578177,0.0,3.2122421823,0.0
4.7877578177,0.0,4.2122421823,0.0
5.7877578177,0.0,5.2122421823,0.0
6.7877578177,0.0,6.2122421823,0.0
7.7877578177,0.0,7.2122421823,0.0
8.7877578177,0.0,8.2122421823,0.0
9.7877578177,0.0,9.2122421823,0.0
10.7877578177,0.0,10.2122421823,0.0
11.7877578177,0.0,11.2122421823,0.0
12.7877578177,0.0,12.2122421823,0.0
13.7877578177,0.0,13.2122421823,0.0
14.7877578177,0.0,14.2122421823,0.0
15.7877578177,0.0,15.2122421823,0.0
16.7877578177,0.0,16.2122421823,0.0
17.7877578177,0.0,17.2122421823,0.0
18.7877578177,0.0,18.2122421823,0.0
19.7877578177,0.0,19.2122421823,0.0
20.7877578177,0.0,20.2122421823,0.0
21.7877578177,0.0,21.2122421823,0.0
22.7877578177,0.0,22.2122421823,0.0
23.7877578177,0.0,23.2122421823,0.0
24.7877578177,0.0,24.2122421823,0.0
25.7877578177,0.0,25.2122421823,0.0
26.7877578177,0.0,26.2122421823,0.0
27.7877578177,0.0,27.2122421823,0.0
28.7877578177,0.0,28.2122421823,0.0
29.7877578177,0.0,29.2122421823,0.0
30.7877578177,0.0,30.2122421823,0.0
31.7877578177,0.0,31.2122421823,0.0
32.7877578177,0.0,32.2122421823,0.0
33.7877578177,0.0,33.2122421823,5.86666666667
34.7877578177,0.0,34.2122421823,11.3
35.7877578177,0.0,36.2122421823,33.3333333333
36.7877578177,0.0,37.2122421823,33.3333333333
37.7877578177,0.0,38.2122421823,33.3333333333
38.7877578177,5.73333333333,39.2122421823,33.3333333333
39.7877578177,10.4,40.2122421823,33.3333333333
40.7877578177,16.6,41.2122421823,33.3333333333
41.7877578177,22.6,42.2122421823,33.3333333333
42.7877578177,27.6666666667,43.2122421823,33.3333333333
43.7877578177,33.3333333333,44.2122421823,33.3333333333
44.7877578177,33.3333333333,45.2122421823,33.3333333333
45.7877578177,39.6666666667,46.2122421823,33.3333333333
46.7877578177,44.4333333333,47.2122421823,33.3333333333
47.7877578177,50.1333333333,48.2122421823,33.3333333333
48.7877578177,54.9,49.2122421823,33.3333333333
49.7877578177,60.6666666667,50.2122421823,39.3333333333
50.7877578177,66.6666666667,51.2122421823,45.1
51.7877578177,66.6666666667,52.2122421823,49.8666666667
52.7877578177,66.6666666667,53.2122421823,55.5666666667
53.7877578177,66.6666666667,54.2122421823,60.3333333333
54.7877578177,66.6666666667,55.2122421823,66.6666666667
55.7877578177,66.6666666667,56.2122421823,66.6666666667
56.7877578177,66.6666666667,57.2122421823,72.3333333333
57.7877578177,66.6666666667,58.2122421823,77.4
58.7877578177,66.6666666667,59.2122421823,83.4
59.7877578177,66.6666666667,60.2122421823,89.6
60.7877578177,66.6666666667,61.2122421823,94.2666666667
61.7877578177,66.6666666667,62.2122421823,100.0
62.7877578177,66.6666666667,63.2122421823,100.0
63.7877578177,66.6666666667,64.2122421823,100.0
65.7877578177,88.7,65.2122421823,100.0
66.7877578177,94.1333333333,66.2122421823,100.0
67.7877578177,100.0,67.2122421823,100.0
68.7877578177,100.0,68.2122421823,100.0
69.7877578177,100.0,69.2122421823,100.0
70.7877578177,100.0,70.2122421823,100.0
71.7877578177,100.0,71.2122421823,100.0
72.7877578177,100.0,72.2122421823,100.0
73.7877578177,100.0,73.2122421823,100.0
74.7877578177,100.0,74.2122421823,100.0
75.7877578177,100.0,75.2122421823,100.0
76.7877578177,100.0,76.2122421823,100.0
77.7877578177,100.0,77.2122421823,100.0
78.7877578177,100.0,78.2122421823,100.0
79.7877578177,100.0,79.2122421823,100.0
80.7877578177,100.0,80.2122421823,100.0
81.7877578177,100.0,81.2122421823,100.0
82.7877578177,100.0,82.2122421823,100.0
83.7877578177,100.0,83.2122421823,100.0
84.7877578177,100.0,84.2122421823,100.0
85.7877578177,100.0,85.2122421823,100.0
86.7877578177,100.0,86.2122421823,100.0
87.7877578177,100.0,87.2122421823,100.0
88.7877578177,100.0,88.2122421823,100.0
89.7877578177,100.0,89.2122421823,100.0
90.7877578177,100.0,90.2122421823,100.0
91.7877578177,100.0,91.2122421823,100.0
92.7877578177,100.0,92.2122421823,100.0
93.7877578177,100.0,93.2122421823,100.0
94.7877578177,100.0,94.2122421823,100.0
95.7877578177,100.0,95.2122421823,100.0
96.7877578177,100.0,96.2122421823,100.0
97.7877578177,100.0,97.2122421823,100.0
98.7877578177,100.0,98.2122421823,100.0
99.7877578177,100.0,99.2122421823,100.0
100,100,100,100
