votesR,seatsR,votesD,seatsD
0,0,0,0
0.593481236465,0.0,0.406518763535,0.0
1.59348123646,0.0,1.40651876353,0.0
2.59348123646,0.0,2.40651876353,0.0
3.59348123646,0.0,3.40651876353,0.0
4.59348123646,0.0,4.40651876353,0.0
5.59348123646,0.0,5.40651876353,0.0
6.59348123646,0.0,6.40651876353,0.0
7.59348123646,0.0,7.40651876353,0.0
8.59348123646,0.0,8.40651876353,0.0
9.59348123646,0.0,9.40651876353,0.0
10.5934812365,0.0,10.4065187635,0.0
11.5934812365,0.0,11.4065187635,0.0
12.5934812365,0.0,12.4065187635,0.0
13.5934812365,0.0,13.4065187635,0.0
14.5934812365,0.0,14.4065187635,0.0
15.5934812365,0.0,15.4065187635,0.0
16.5934812365,0.0,16.4065187635,0.0
17.5934812365,0.0,17.4065187635,0.0
18.5934812365,0.0,18.4065187635,0.0
19.5934812365,0.0,19.4065187635,0.0
20.5934812365,0.0,20.4065187635,0.0
21.5934812365,0.0,21.4065187635,0.0
22.5934812365,0.0,22.4065187635,0.0
23.5934812365,0.0,23.4065187635,0.0
24.5934812365,0.0,24.4065187635,0.0
25.5934812365,0.0,25.4065187635,0.0
26.5934812365,0.0,26.4065187635,0.0
27.5934812365,0.0,27.4065187635,0.0
28.5934812365,0.0,28.4065187635,0.0
29.5934812365,0.0,29.4065187635,0.0
30.5934812365,0.0,30.4065187635,0.0
31.5934812365,0.0,31.4065187635,0.0
32.5934812365,0.0,32.4065187635,0.0
33.5934812365,0.0,33.4065187635,0.0
34.5934812365,0.0,34.4065187635,0.0
35.5934812365,0.0,35.4065187635,0.0
36.5934812365,0.0,36.4065187635,0.0
37.5934812365,0.0,37.4065187635,0.0
38.5934812365,0.0,38.4065187635,0.0
39.5934812365,0.0,39.4065187635,0.0
40.5934812365,0.0,40.4065187635,0.0
41.5934812365,0.0,41.4065187635,0.0
43.5934812365,16.8333333333,42.4065187635,0.0
44.5934812365,22.2333333333,43.4065187635,0.0
45.5934812365,27.8333333333,44.4065187635,0.0
46.5934812365,33.3333333333,45.4065187635,5.53333333333
47.5934812365,39.2,46.4065187635,10.9
48.5934812365,44.3333333333,47.4065187635,16.9666666667
49.5934812365,49.8666666667,48.4065187635,29.1666666667
50.5934812365,61.1333333333,49.4065187635,38.8666666667
51.5934812365,70.8333333333,50.4065187635,50.1333333333
52.5934812365,83.0333333333,51.4065187635,55.6666666667
53.5934812365,89.1,52.4065187635,60.8
54.5934812365,94.4666666667,53.4065187635,66.6666666667
55.5934812365,100.0,54.4065187635,72.1666666667
56.5934812365,100.0,55.4065187635,77.7666666667
57.5934812365,100.0,56.4065187635,83.1666666667
58.5934812365,100.0,58.4065187635,100.0
59.5934812365,100.0,59.4065187635,100.0
60.5934812365,100.0,60.4065187635,100.0
61.5934812365,100.0,61.4065187635,100.0
62.5934812365,100.0,62.4065187635,100.0
63.5934812365,100.0,63.4065187635,100.0
64.5934812365,100.0,64.4065187635,100.0
65.5934812365,100.0,65.4065187635,100.0
66.5934812365,100.0,66.4065187635,100.0
67.5934812365,100.0,67.4065187635,100.0
68.5934812365,100.0,68.4065187635,100.0
69.5934812365,100.0,69.4065187635,100.0
70.5934812365,100.0,70.4065187635,100.0
71.5934812365,100.0,71.4065187635,100.0
72.5934812365,100.0,72.4065187635,100.0
73.5934812365,100.0,73.4065187635,100.0
74.5934812365,100.0,74.4065187635,100.0
75.5934812365,100.0,75.4065187635,100.0
76.5934812365,100.0,76.4065187635,100.0
77.5934812365,100.0,77.4065187635,100.0
78.5934812365,100.0,78.4065187635,100.0
79.5934812365,100.0,79.4065187635,100.0
80.5934812365,100.0,80.4065187635,100.0
81.5934812365,100.0,81.4065187635,100.0
82.5934812365,100.0,82.4065187635,100.0
83.5934812365,100.0,83.4065187635,100.0
84.5934812365,100.0,84.4065187635,100.0
85.5934812365,100.0,85.4065187635,100.0
86.5934812365,100.0,86.4065187635,100.0
87.5934812365,100.0,87.4065187635,100.0
88.5934812365,100.0,88.4065187635,100.0
89.5934812365,100.0,89.4065187635,100.0
90.5934812365,100.0,90.4065187635,100.0
91.5934812365,100.0,91.4065187635,100.0
92.5934812365,100.0,92.4065187635,100.0
93.5934812365,100.0,93.4065187635,100.0
94.5934812365,100.0,94.4065187635,100.0
95.5934812365,100.0,95.4065187635,100.0
96.5934812365,100.0,96.4065187635,100.0
97.5934812365,100.0,97.4065187635,100.0
98.5934812365,100.0,98.4065187635,100.0
99.5934812365,100.0,99.4065187635,100.0
100,100,100,100
