votesR,seatsR,votesD,seatsD
0,0,0,0
0.191270710507,0.0,0.808729289493,0.0
1.19127071051,0.0,1.80872928949,0.0
2.19127071051,0.0,2.80872928949,0.0
3.19127071051,0.0,3.80872928949,0.0
4.19127071051,0.0,4.80872928949,0.0
5.19127071051,0.0,5.80872928949,0.0
6.19127071051,0.0,6.80872928949,0.0
7.19127071051,0.0,7.80872928949,0.0
8.19127071051,0.0,8.80872928949,0.0
9.19127071051,0.0,9.80872928949,0.0
10.1912707105,0.0,10.8087292895,0.0
11.1912707105,0.0,11.8087292895,0.0
12.1912707105,0.0,12.8087292895,0.0
13.1912707105,0.0,13.8087292895,0.0
14.1912707105,0.0,14.8087292895,0.0
15.1912707105,0.0,15.8087292895,0.0
16.1912707105,0.0,16.8087292895,0.0
17.1912707105,0.0,17.8087292895,0.0
18.1912707105,0.0,18.8087292895,0.0
19.1912707105,0.0,19.8087292895,0.0
20.1912707105,0.0,20.8087292895,0.0
21.1912707105,0.0,21.8087292895,0.0
22.1912707105,0.0,22.8087292895,0.0
23.1912707105,0.0,23.8087292895,0.0
24.1912707105,0.0,24.8087292895,0.0
25.1912707105,0.0,25.8087292895,0.0
26.1912707105,0.0,26.8087292895,0.0
27.1912707105,0.0,27.8087292895,0.0
28.1912707105,0.0,28.8087292895,0.0
29.1912707105,0.0,29.8087292895,4.275
30.1912707105,0.0,30.8087292895,8.075
31.1912707105,0.0,31.8087292895,12.975
32.1912707105,0.0,32.8087292895,16.525
33.1912707105,0.0,33.8087292895,20.775
34.1912707105,0.0,34.8087292895,25.0
35.1912707105,0.0,35.8087292895,25.0
36.1912707105,0.0,36.8087292895,25.0
37.1912707105,0.0,37.8087292895,25.0
38.1912707105,4.325,38.8087292895,25.0
39.1912707105,8.475,39.8087292895,25.0
40.1912707105,12.525,41.8087292895,41.55
41.1912707105,16.475,42.8087292895,46.025
42.1912707105,20.725,43.8087292895,50.0
43.1912707105,25.0,44.8087292895,50.0
44.1912707105,25.0,45.8087292895,50.0
45.1912707105,25.0,46.8087292895,50.0
46.1912707105,29.075,47.8087292895,50.0
47.1912707105,33.175,48.8087292895,50.0
48.1912707105,37.2,49.8087292895,54.2
49.1912707105,41.85,50.8087292895,58.15
50.1912707105,45.8,51.8087292895,62.8
51.1912707105,50.0,52.8087292895,66.825
52.1912707105,50.0,53.8087292895,70.925
53.1912707105,50.0,54.8087292895,75.0
54.1912707105,50.0,55.8087292895,75.0
55.1912707105,50.0,56.8087292895,75.0
56.1912707105,50.0,57.8087292895,79.275
57.1912707105,53.975,58.8087292895,83.525
58.1912707105,58.45,59.8087292895,87.475
60.1912707105,75.0,60.8087292895,91.525
61.1912707105,75.0,61.8087292895,95.675
62.1912707105,75.0,62.8087292895,100.0
63.1912707105,75.0,63.8087292895,100.0
64.1912707105,75.0,64.8087292895,100.0
65.1912707105,75.0,65.8087292895,100.0
66.1912707105,79.225,66.8087292895,100.0
67.1912707105,83.475,67.8087292895,100.0
68.1912707105,87.025,68.8087292895,100.0
69.1912707105,91.925,69.8087292895,100.0
70.1912707105,95.725,70.8087292895,100.0
71.1912707105,100.0,71.8087292895,100.0
72.1912707105,100.0,72.8087292895,100.0
73.1912707105,100.0,73.8087292895,100.0
74.1912707105,100.0,74.8087292895,100.0
75.1912707105,100.0,75.8087292895,100.0
76.1912707105,100.0,76.8087292895,100.0
77.1912707105,100.0,77.8087292895,100.0
78.1912707105,100.0,78.8087292895,100.0
79.1912707105,100.0,79.8087292895,100.0
80.1912707105,100.0,80.8087292895,100.0
81.1912707105,100.0,81.8087292895,100.0
82.1912707105,100.0,82.8087292895,100.0
83.1912707105,100.0,83.8087292895,100.0
84.1912707105,100.0,84.8087292895,100.0
85.1912707105,100.0,85.8087292895,100.0
86.1912707105,100.0,86.8087292895,100.0
87.1912707105,100.0,87.8087292895,100.0
88.1912707105,100.0,88.8087292895,100.0
89.1912707105,100.0,89.8087292895,100.0
90.1912707105,100.0,90.8087292895,100.0
91.1912707105,100.0,91.8087292895,100.0
92.1912707105,100.0,92.8087292895,100.0
93.1912707105,100.0,93.8087292895,100.0
94.1912707105,100.0,94.8087292895,100.0
95.1912707105,100.0,95.8087292895,100.0
96.1912707105,100.0,96.8087292895,100.0
97.1912707105,100.0,97.8087292895,100.0
98.1912707105,100.0,98.8087292895,100.0
99.1912707105,100.0,99.8087292895,100.0
100,100,100,100
