votesR,seatsR,votesD,seatsD
0,0,0,0
0.52415672164,0.0,0.47584327836,0.0
1.52415672164,0.0,1.47584327836,0.0
2.52415672164,0.0,2.47584327836,0.0
3.52415672164,0.0,3.47584327836,0.0
4.52415672164,0.0,4.47584327836,0.0
5.52415672164,0.0,5.47584327836,0.0
6.52415672164,0.0,6.47584327836,0.0
7.52415672164,0.0,7.47584327836,0.0
8.52415672164,0.0,8.47584327836,0.0
9.52415672164,0.0,9.47584327836,0.0
10.5241567216,0.0,10.4758432784,0.0
11.5241567216,0.0,11.4758432784,0.0
12.5241567216,0.0,12.4758432784,0.0
13.5241567216,0.0,13.4758432784,0.0
14.5241567216,0.0,14.4758432784,0.0
15.5241567216,0.0,15.4758432784,0.0
16.5241567216,0.0,16.4758432784,0.0
17.5241567216,0.0,17.4758432784,0.0
18.5241567216,0.0,18.4758432784,0.0
19.5241567216,0.0,19.4758432784,0.0
20.5241567216,0.0,20.4758432784,0.0
21.5241567216,0.0,21.4758432784,0.0
22.5241567216,0.0,22.4758432784,0.0
23.5241567216,0.0,23.4758432784,0.0
24.5241567216,0.0,24.4758432784,0.0
25.5241567216,0.0,25.4758432784,0.0
26.5241567216,0.0,26.4758432784,0.0
27.5241567216,0.0,27.4758432784,0.0
28.5241567216,0.0,28.4758432784,0.0
29.5241567216,3.44,29.4758432784,0.0
30.5241567216,6.76,30.4758432784,0.0
31.5241567216,10.04,31.4758432784,0.0
32.5241567216,13.44,32.4758432784,0.0
33.5241567216,16.76,33.4758432784,0.0
34.5241567216,20.0,34.4758432784,0.0
35.5241567216,20.0,35.4758432784,0.0
36.5241567216,20.0,36.4758432784,0.0
37.5241567216,20.0,37.4758432784,0.0
38.5241567216,20.0,38.4758432784,3.14
39.5241567216,20.0,39.4758432784,5.9
40.5241567216,22.98,40.4758432784,10.38
41.5241567216,26.34,41.4758432784,13.66
42.5241567216,30.12,42.4758432784,16.96
43.5241567216,33.66,43.4758432784,20.0
44.5241567216,36.62,44.4758432784,26.56
45.5241567216,40.0,45.4758432784,33.66
46.5241567216,40.0,47.4758432784,60.0
47.5241567216,40.0,48.4758432784,60.0
48.5241567216,40.0,49.4758432784,60.0
49.5241567216,40.0,50.4758432784,60.0
50.5241567216,40.0,51.4758432784,60.0
51.5241567216,40.0,52.4758432784,60.0
52.5241567216,40.0,53.4758432784,60.0
54.5241567216,66.34,54.4758432784,60.0
55.5241567216,73.44,55.4758432784,63.38
56.5241567216,80.0,56.4758432784,66.34
57.5241567216,83.04,57.4758432784,69.88
58.5241567216,86.34,58.4758432784,73.66
59.5241567216,89.62,59.4758432784,77.02
60.5241567216,94.1,60.4758432784,80.0
61.5241567216,96.86,61.4758432784,80.0
62.5241567216,100.0,62.4758432784,80.0
63.5241567216,100.0,63.4758432784,80.0
64.5241567216,100.0,64.4758432784,80.0
65.5241567216,100.0,65.4758432784,80.0
66.5241567216,100.0,66.4758432784,83.24
67.5241567216,100.0,67.4758432784,86.56
68.5241567216,100.0,68.4758432784,89.96
69.5241567216,100.0,69.4758432784,93.24
70.5241567216,100.0,70.4758432784,96.56
71.5241567216,100.0,71.4758432784,100.0
72.5241567216,100.0,72.4758432784,100.0
73.5241567216,100.0,73.4758432784,100.0
74.5241567216,100.0,74.4758432784,100.0
75.5241567216,100.0,75.4758432784,100.0
76.5241567216,100.0,76.4758432784,100.0
77.5241567216,100.0,77.4758432784,100.0
78.5241567216,100.0,78.4758432784,100.0
79.5241567216,100.0,79.4758432784,100.0
80.5241567216,100.0,80.4758432784,100.0
81.5241567216,100.0,81.4758432784,100.0
82.5241567216,100.0,82.4758432784,100.0
83.5241567216,100.0,83.4758432784,100.0
84.5241567216,100.0,84.4758432784,100.0
85.5241567216,100.0,85.4758432784,100.0
86.5241567216,100.0,86.4758432784,100.0
87.5241567216,100.0,87.4758432784,100.0
88.5241567216,100.0,88.4758432784,100.0
89.5241567216,100.0,89.4758432784,100.0
90.5241567216,100.0,90.4758432784,100.0
91.5241567216,100.0,91.4758432784,100.0
92.5241567216,100.0,92.4758432784,100.0
93.5241567216,100.0,93.4758432784,100.0
94.5241567216,100.0,94.4758432784,100.0
95.5241567216,100.0,95.4758432784,100.0
96.5241567216,100.0,96.4758432784,100.0
97.5241567216,100.0,97.4758432784,100.0
98.5241567216,100.0,98.4758432784,100.0
99.5241567216,100.0,99.4758432784,100.0
100,100,100,100
