votesR,seatsR,votesD,seatsD
0,0,0,0
0.897675730673,0.0,0.102324269327,0.0
1.89767573067,0.0,1.10232426933,0.0
2.89767573067,0.0,2.10232426933,0.0
3.89767573067,0.0,3.10232426933,0.0
4.89767573067,0.0,4.10232426933,0.0
5.89767573067,0.0,5.10232426933,0.0
6.89767573067,0.0,6.10232426933,0.0
7.89767573067,0.0,7.10232426933,0.0
8.89767573067,0.0,8.10232426933,0.0
9.89767573067,0.0,9.10232426933,0.0
10.8976757307,0.0,10.1023242693,0.0
11.8976757307,0.0,11.1023242693,0.0
12.8976757307,0.0,12.1023242693,0.0
13.8976757307,0.0,13.1023242693,0.0
14.8976757307,0.0,14.1023242693,0.0
15.8976757307,0.0,15.1023242693,0.0
16.8976757307,0.0,16.1023242693,0.0
17.8976757307,0.0,17.1023242693,0.0
18.8976757307,0.0,18.1023242693,0.0
19.8976757307,0.0,19.1023242693,0.0
20.8976757307,0.0,20.1023242693,0.0
21.8976757307,0.0,21.1023242693,0.0
22.8976757307,0.0,22.1023242693,0.0
23.8976757307,0.0,23.1023242693,0.0
24.8976757307,0.0,24.1023242693,0.0
25.8976757307,0.0,25.1023242693,0.0
26.8976757307,0.0,26.1023242693,0.0
27.8976757307,0.0,27.1023242693,0.0
28.8976757307,0.0,28.1023242693,0.0
29.8976757307,0.0,29.1023242693,0.0
30.8976757307,0.0,30.1023242693,0.0
31.8976757307,0.0,31.1023242693,0.0
32.8976757307,0.0,32.1023242693,0.0
33.8976757307,0.0,33.1023242693,0.0
34.8976757307,0.0,34.1023242693,0.0
35.8976757307,0.0,35.1023242693,0.0
36.8976757307,0.0,36.1023242693,0.0
37.8976757307,0.0,37.1023242693,0.0
39.8976757307,0.0,38.1023242693,0.0
40.8976757307,0.0,39.1023242693,0.0
41.8976757307,0.0,40.1023242693,0.0
42.8976757307,0.0,41.1023242693,0.0
43.8976757307,0.0,42.1023242693,0.0
44.8976757307,8.2,43.1023242693,0.0
45.8976757307,16.55,44.1023242693,0.0
46.8976757307,25.3,45.1023242693,0.0
47.8976757307,41.75,46.1023242693,0.0
48.8976757307,58.6,47.1023242693,0.0
49.8976757307,75.6,48.1023242693,8.2
50.8976757307,84.05,49.1023242693,15.95
51.8976757307,91.8,50.1023242693,24.4
52.8976757307,100.0,51.1023242693,41.4
53.8976757307,100.0,52.1023242693,58.25
54.8976757307,100.0,53.1023242693,74.7
55.8976757307,100.0,54.1023242693,83.45
56.8976757307,100.0,55.1023242693,91.8
57.8976757307,100.0,56.1023242693,100.0
58.8976757307,100.0,57.1023242693,100.0
59.8976757307,100.0,58.1023242693,100.0
60.8976757307,100.0,59.1023242693,100.0
61.8976757307,100.0,60.1023242693,100.0
62.8976757307,100.0,62.1023242693,100.0
63.8976757307,100.0,63.1023242693,100.0
64.8976757307,100.0,64.1023242693,100.0
65.8976757307,100.0,65.1023242693,100.0
66.8976757307,100.0,66.1023242693,100.0
67.8976757307,100.0,67.1023242693,100.0
68.8976757307,100.0,68.1023242693,100.0
69.8976757307,100.0,69.1023242693,100.0
70.8976757307,100.0,70.1023242693,100.0
71.8976757307,100.0,71.1023242693,100.0
72.8976757307,100.0,72.1023242693,100.0
73.8976757307,100.0,73.1023242693,100.0
74.8976757307,100.0,74.1023242693,100.0
75.8976757307,100.0,75.1023242693,100.0
76.8976757307,100.0,76.1023242693,100.0
77.8976757307,100.0,77.1023242693,100.0
78.8976757307,100.0,78.1023242693,100.0
79.8976757307,100.0,79.1023242693,100.0
80.8976757307,100.0,80.1023242693,100.0
81.8976757307,100.0,81.1023242693,100.0
82.8976757307,100.0,82.1023242693,100.0
83.8976757307,100.0,83.1023242693,100.0
84.8976757307,100.0,84.1023242693,100.0
85.8976757307,100.0,85.1023242693,100.0
86.8976757307,100.0,86.1023242693,100.0
87.8976757307,100.0,87.1023242693,100.0
88.8976757307,100.0,88.1023242693,100.0
89.8976757307,100.0,89.1023242693,100.0
90.8976757307,100.0,90.1023242693,100.0
91.8976757307,100.0,91.1023242693,100.0
92.8976757307,100.0,92.1023242693,100.0
93.8976757307,100.0,93.1023242693,100.0
94.8976757307,100.0,94.1023242693,100.0
95.8976757307,100.0,95.1023242693,100.0
96.8976757307,100.0,96.1023242693,100.0
97.8976757307,100.0,97.1023242693,100.0
98.8976757307,100.0,98.1023242693,100.0
99.8976757307,100.0,99.1023242693,100.0
100,100,100,100
