votesR,seatsR,votesD,seatsD
0,0,0,0
0.0883248522198,0.0,0.91167514778,0.0
1.08832485222,0.0,1.91167514778,0.0
2.08832485222,0.0,2.91167514778,0.0
3.08832485222,0.0,3.91167514778,0.0
4.08832485222,0.0,4.91167514778,0.0
5.08832485222,0.0,5.91167514778,0.0
6.08832485222,0.0,6.91167514778,0.0
7.08832485222,0.0,7.91167514778,0.0
8.08832485222,0.0,8.91167514778,0.0
9.08832485222,0.0,9.91167514778,0.0
10.0883248522,0.0,10.9116751478,0.0
11.0883248522,0.0,11.9116751478,0.0
12.0883248522,0.0,12.9116751478,0.0
13.0883248522,0.0,13.9116751478,0.0
14.0883248522,0.0,14.9116751478,0.0
15.0883248522,0.0,15.9116751478,0.0
16.0883248522,0.0,16.9116751478,0.0
17.0883248522,0.0,17.9116751478,2.42857142857
18.0883248522,0.0,18.9116751478,4.7
19.0883248522,0.0,19.9116751478,7.08571428571
20.0883248522,0.0,20.9116751478,9.52857142857
21.0883248522,0.0,21.9116751478,12.0142857143
22.0883248522,0.0,22.9116751478,14.2857142857
23.0883248522,0.0,23.9116751478,14.2857142857
24.0883248522,0.0,24.9116751478,14.2857142857
25.0883248522,0.0,25.9116751478,14.2857142857
26.0883248522,0.0,26.9116751478,14.2857142857
27.0883248522,0.0,27.9116751478,14.2857142857
28.0883248522,0.0,28.9116751478,14.2857142857
29.0883248522,0.0,29.9116751478,14.2857142857
30.0883248522,0.0,30.9116751478,14.2857142857
31.0883248522,0.0,31.9116751478,14.2857142857
32.0883248522,0.0,32.9116751478,14.2857142857
33.0883248522,0.0,33.9116751478,14.2857142857
34.0883248522,0.0,34.9116751478,14.2857142857
35.0883248522,2.58571428571,35.9116751478,14.2857142857
36.0883248522,7.38571428571,36.9116751478,14.2857142857
37.0883248522,11.5714285714,37.9116751478,14.2857142857
38.0883248522,16.5857142857,38.9116751478,14.2857142857
39.0883248522,21.7857142857,39.9116751478,14.2857142857
40.0883248522,26.2428571429,40.9116751478,14.2857142857
41.0883248522,28.5714285714,42.9116751478,19.0428571429
42.0883248522,28.5714285714,43.9116751478,21.2857142857
43.0883248522,28.5714285714,44.9116751478,23.7571428571
44.0883248522,30.9714285714,45.9116751478,26.5571428571
45.0883248522,33.4285714286,46.9116751478,28.5714285714
46.0883248522,35.6,47.9116751478,31.1428571429
47.0883248522,40.2142857143,48.9116751478,35.3571428571
48.0883248522,47.2285714286,49.9116751478,40.4142857143
49.0883248522,54.7428571429,50.9116751478,45.2571428571
50.0883248522,59.5857142857,51.9116751478,52.7714285714
51.0883248522,64.6428571429,52.9116751478,59.7857142857
52.0883248522,68.8571428571,53.9116751478,64.4
53.0883248522,71.4285714286,54.9116751478,66.5714285714
54.0883248522,73.4428571429,55.9116751478,69.0285714286
55.0883248522,76.2428571429,56.9116751478,71.4285714286
56.0883248522,78.7142857143,57.9116751478,71.4285714286
57.0883248522,80.9571428571,58.9116751478,71.4285714286
59.0883248522,85.7142857143,59.9116751478,73.7571428571
60.0883248522,85.7142857143,60.9116751478,78.2142857143
61.0883248522,85.7142857143,61.9116751478,83.4142857143
62.0883248522,85.7142857143,62.9116751478,88.4285714286
63.0883248522,85.7142857143,63.9116751478,92.6142857143
64.0883248522,85.7142857143,64.9116751478,97.4142857143
65.0883248522,85.7142857143,65.9116751478,100.0
66.0883248522,85.7142857143,66.9116751478,100.0
67.0883248522,85.7142857143,67.9116751478,100.0
68.0883248522,85.7142857143,68.9116751478,100.0
69.0883248522,85.7142857143,69.9116751478,100.0
70.0883248522,85.7142857143,70.9116751478,100.0
71.0883248522,85.7142857143,71.9116751478,100.0
72.0883248522,85.7142857143,72.9116751478,100.0
73.0883248522,85.7142857143,73.9116751478,100.0
74.0883248522,85.7142857143,74.9116751478,100.0
75.0883248522,85.7142857143,75.9116751478,100.0
76.0883248522,85.7142857143,76.9116751478,100.0
77.0883248522,85.7142857143,77.9116751478,100.0
78.0883248522,87.9857142857,78.9116751478,100.0
79.0883248522,90.4714285714,79.9116751478,100.0
80.0883248522,92.9142857143,80.9116751478,100.0
81.0883248522,95.3,81.9116751478,100.0
82.0883248522,97.5714285714,82.9116751478,100.0
83.0883248522,100.0,83.9116751478,100.0
84.0883248522,100.0,84.9116751478,100.0
85.0883248522,100.0,85.9116751478,100.0
86.0883248522,100.0,86.9116751478,100.0
87.0883248522,100.0,87.9116751478,100.0
88.0883248522,100.0,88.9116751478,100.0
89.0883248522,100.0,89.9116751478,100.0
90.0883248522,100.0,90.9116751478,100.0
91.0883248522,100.0,91.9116751478,100.0
92.0883248522,100.0,92.9116751478,100.0
93.0883248522,100.0,93.9116751478,100.0
94.0883248522,100.0,94.9116751478,100.0
95.0883248522,100.0,95.9116751478,100.0
96.0883248522,100.0,96.9116751478,100.0
97.0883248522,100.0,97.9116751478,100.0
98.0883248522,100.0,98.9116751478,100.0
99.0883248522,100.0,99.9116751478,100.0
100,100,100,100
