votesR,seatsR,votesD,seatsD
0,0,0,0
0.722688816658,0.0,0.277311183342,0.0
1.72268881666,0.0,1.27731118334,0.0
2.72268881666,0.0,2.27731118334,0.0
3.72268881666,0.0,3.27731118334,0.0
4.72268881666,0.0,4.27731118334,0.0
5.72268881666,0.0,5.27731118334,0.0
6.72268881666,0.0,6.27731118334,0.0
7.72268881666,0.0,7.27731118334,0.0
8.72268881666,0.0,8.27731118334,0.0
9.72268881666,0.0,9.27731118334,0.0
10.7226888167,0.0,10.2773111833,0.0
11.7226888167,0.0,11.2773111833,0.486111111111
12.7226888167,0.0,12.2773111833,0.994444444444
13.7226888167,0.0,13.2773111833,1.39722222222
14.7226888167,0.0,14.2773111833,1.83333333333
15.7226888167,0.0,15.2773111833,2.34166666667
16.7226888167,0.0,16.2773111833,3.15555555556
17.7226888167,0.0,17.2773111833,3.69444444444
18.7226888167,0.0,18.2773111833,4.23333333333
19.7226888167,0.0,19.2773111833,4.61388888889
20.7226888167,0.0,20.2773111833,5.56666666667
21.7226888167,0.0,21.2773111833,6.51388888889
22.7226888167,0.0,22.2773111833,6.925
23.7226888167,0.0,23.2773111833,7.425
24.7226888167,0.0,24.2773111833,7.89722222222
25.7226888167,0.0,25.2773111833,8.81111111111
26.7226888167,0.405555555556,26.2773111833,9.19444444444
27.7226888167,0.947222222222,27.2773111833,9.66944444444
28.7226888167,1.34444444444,28.2773111833,10.1444444444
29.7226888167,1.86111111111,29.2773111833,10.6555555556
30.7226888167,2.39722222222,30.2773111833,11.5805555556
31.7226888167,2.77777777778,31.2773111833,11.9916666667
32.7226888167,3.28611111111,32.2773111833,12.5416666667
33.7226888167,3.63888888889,33.2773111833,13.4083333333
34.7226888167,4.16666666667,34.2773111833,14.4166666667
35.7226888167,5.54722222222,35.2773111833,15.1888888889
36.7226888167,6.94444444444,37.2773111833,18.5444444444
37.7226888167,8.28055555556,38.2773111833,19.0166666667
38.7226888167,9.31111111111,39.2773111833,19.4444444444
39.7226888167,10.6444444444,40.2773111833,20.4416666667
40.7226888167,12.5583333333,41.2773111833,21.3527777778
41.7226888167,14.4138888889,42.2773111833,22.2722222222
42.7226888167,16.1777777778,43.2773111833,23.125
43.7226888167,18.55,44.2773111833,24.4861111111
44.7226888167,21.2694444444,45.2773111833,26.9027777778
45.7226888167,24.4611111111,46.2773111833,29.075
46.7226888167,29.6638888889,47.2773111833,33.4833333333
47.7226888167,34.2166666667,48.2773111833,37.875
48.7226888167,40.6861111111,49.2773111833,44.6888888889
49.7226888167,47.6777777778,50.2773111833,52.3222222222
50.7226888167,55.3111111111,51.2773111833,59.3138888889
51.7226888167,62.125,52.2773111833,65.7833333333
52.7226888167,66.5166666667,53.2773111833,70.3361111111
53.7226888167,70.925,54.2773111833,75.5388888889
54.7226888167,73.0972222222,55.2773111833,78.7305555556
55.7226888167,75.5138888889,56.2773111833,81.45
56.7226888167,76.875,57.2773111833,83.8222222222
57.7226888167,77.7277777778,58.2773111833,85.5861111111
58.7226888167,78.6472222222,59.2773111833,87.4416666667
59.7226888167,79.5583333333,60.2773111833,89.3555555556
60.7226888167,80.5555555556,61.2773111833,90.6888888889
61.7226888167,80.9833333333,62.2773111833,91.7194444444
62.7226888167,81.4555555556,63.2773111833,93.0555555556
64.7226888167,84.8111111111,64.2773111833,94.4527777778
65.7226888167,85.5833333333,65.2773111833,95.8333333333
66.7226888167,86.5916666667,66.2773111833,96.3611111111
67.7226888167,87.4583333333,67.2773111833,96.7138888889
68.7226888167,88.0083333333,68.2773111833,97.2222222222
69.7226888167,88.4194444444,69.2773111833,97.6027777778
70.7226888167,89.3444444444,70.2773111833,98.1388888889
71.7226888167,89.8555555556,71.2773111833,98.6555555556
72.7226888167,90.3305555556,72.2773111833,99.0527777778
73.7226888167,90.8055555556,73.2773111833,99.5944444444
74.7226888167,91.1888888889,74.2773111833,100.0
75.7226888167,92.1027777778,75.2773111833,100.0
76.7226888167,92.575,76.2773111833,100.0
77.7226888167,93.075,77.2773111833,100.0
78.7226888167,93.4861111111,78.2773111833,100.0
79.7226888167,94.4333333333,79.2773111833,100.0
80.7226888167,95.3861111111,80.2773111833,100.0
81.7226888167,95.7666666667,81.2773111833,100.0
82.7226888167,96.3055555556,82.2773111833,100.0
83.7226888167,96.8444444444,83.2773111833,100.0
84.7226888167,97.6583333333,84.2773111833,100.0
85.7226888167,98.1666666667,85.2773111833,100.0
86.7226888167,98.6027777778,86.2773111833,100.0
87.7226888167,99.0055555556,87.2773111833,100.0
88.7226888167,99.5138888889,88.2773111833,100.0
89.7226888167,100.0,89.2773111833,100.0
90.7226888167,100.0,90.2773111833,100.0
91.7226888167,100.0,91.2773111833,100.0
92.7226888167,100.0,92.2773111833,100.0
93.7226888167,100.0,93.2773111833,100.0
94.7226888167,100.0,94.2773111833,100.0
95.7226888167,100.0,95.2773111833,100.0
96.7226888167,100.0,96.2773111833,100.0
97.7226888167,100.0,97.2773111833,100.0
98.7226888167,100.0,98.2773111833,100.0
99.7226888167,100.0,99.2773111833,100.0
100,100,100,100
