votesR,seatsR,votesD,seatsD
0,0,0,0
0.51541462187,0.0,0.48458537813,0.0
1.51541462187,0.0,1.48458537813,0.0
2.51541462187,0.0,2.48458537813,0.0
3.51541462187,0.0,3.48458537813,0.0
4.51541462187,0.0,4.48458537813,0.0
5.51541462187,0.0,5.48458537813,0.0
6.51541462187,0.0,6.48458537813,0.0
7.51541462187,0.0,7.48458537813,0.0
8.51541462187,0.0,8.48458537813,0.0
9.51541462187,0.0,9.48458537813,0.0
10.5154146219,0.0,10.4845853781,0.0
11.5154146219,0.0,11.4845853781,0.0
12.5154146219,0.0,12.4845853781,0.0
13.5154146219,0.0,13.4845853781,0.0
14.5154146219,0.0,14.4845853781,0.0
15.5154146219,0.0,15.4845853781,0.0
16.5154146219,0.0,16.4845853781,0.0
17.5154146219,0.0,17.4845853781,0.0
18.5154146219,0.0,18.4845853781,0.0
19.5154146219,0.0,19.4845853781,0.0
20.5154146219,0.0,20.4845853781,0.0
21.5154146219,0.0,21.4845853781,0.0
22.5154146219,0.0,22.4845853781,0.0
23.5154146219,0.0,23.4845853781,0.0
24.5154146219,0.0,24.4845853781,0.0
25.5154146219,0.0,25.4845853781,0.0
26.5154146219,0.0,26.4845853781,0.0
27.5154146219,0.0,27.4845853781,0.0
28.5154146219,0.0,28.4845853781,0.0
29.5154146219,0.0,29.4845853781,0.0
30.5154146219,0.0,30.4845853781,0.0
31.5154146219,0.0,31.4845853781,0.0
33.5154146219,0.0,32.4845853781,0.0
34.5154146219,0.0,33.4845853781,0.0
35.5154146219,0.0,34.4845853781,0.0
36.5154146219,0.0,35.4845853781,0.0
37.5154146219,0.0,36.4845853781,0.0
38.5154146219,0.0,37.4845853781,0.0
39.5154146219,0.0,38.4845853781,0.0
40.5154146219,0.0,39.4845853781,0.0
41.5154146219,0.0,40.4845853781,0.0
42.5154146219,0.0,41.4845853781,0.0
43.5154146219,0.0,42.4845853781,0.0
44.5154146219,0.0,43.4845853781,0.0
45.5154146219,0.0,44.4845853781,0.0
46.5154146219,17.3,45.4845853781,0.0
47.5154146219,35.2,46.4845853781,0.0
48.5154146219,48.8,47.4845853781,0.0
49.5154146219,68.1,48.4845853781,0.0
50.5154146219,84.0,49.4845853781,16.0
51.5154146219,100.0,50.4845853781,31.9
52.5154146219,100.0,51.4845853781,51.2
53.5154146219,100.0,52.4845853781,64.8
54.5154146219,100.0,53.4845853781,82.7
55.5154146219,100.0,54.4845853781,100.0
56.5154146219,100.0,55.4845853781,100.0
57.5154146219,100.0,56.4845853781,100.0
58.5154146219,100.0,57.4845853781,100.0
59.5154146219,100.0,58.4845853781,100.0
60.5154146219,100.0,59.4845853781,100.0
61.5154146219,100.0,60.4845853781,100.0
62.5154146219,100.0,61.4845853781,100.0
63.5154146219,100.0,62.4845853781,100.0
64.5154146219,100.0,63.4845853781,100.0
65.5154146219,100.0,64.4845853781,100.0
66.5154146219,100.0,65.4845853781,100.0
67.5154146219,100.0,66.4845853781,100.0
68.5154146219,100.0,68.4845853781,100.0
69.5154146219,100.0,69.4845853781,100.0
70.5154146219,100.0,70.4845853781,100.0
71.5154146219,100.0,71.4845853781,100.0
72.5154146219,100.0,72.4845853781,100.0
73.5154146219,100.0,73.4845853781,100.0
74.5154146219,100.0,74.4845853781,100.0
75.5154146219,100.0,75.4845853781,100.0
76.5154146219,100.0,76.4845853781,100.0
77.5154146219,100.0,77.4845853781,100.0
78.5154146219,100.0,78.4845853781,100.0
79.5154146219,100.0,79.4845853781,100.0
80.5154146219,100.0,80.4845853781,100.0
81.5154146219,100.0,81.4845853781,100.0
82.5154146219,100.0,82.4845853781,100.0
83.5154146219,100.0,83.4845853781,100.0
84.5154146219,100.0,84.4845853781,100.0
85.5154146219,100.0,85.4845853781,100.0
86.5154146219,100.0,86.4845853781,100.0
87.5154146219,100.0,87.4845853781,100.0
88.5154146219,100.0,88.4845853781,100.0
89.5154146219,100.0,89.4845853781,100.0
90.5154146219,100.0,90.4845853781,100.0
91.5154146219,100.0,91.4845853781,100.0
92.5154146219,100.0,92.4845853781,100.0
93.5154146219,100.0,93.4845853781,100.0
94.5154146219,100.0,94.4845853781,100.0
95.5154146219,100.0,95.4845853781,100.0
96.5154146219,100.0,96.4845853781,100.0
97.5154146219,100.0,97.4845853781,100.0
98.5154146219,100.0,98.4845853781,100.0
99.5154146219,100.0,99.4845853781,100.0
100,100,100,100
