votesR,seatsR,votesD,seatsD
0,0,0,0
0.539388702394,0.0,0.460611297606,0.0
1.53938870239,0.0,1.46061129761,0.0
2.53938870239,0.0,2.46061129761,0.0
3.53938870239,0.0,3.46061129761,0.0
4.53938870239,0.0,4.46061129761,0.0
5.53938870239,0.0,5.46061129761,0.0
6.53938870239,0.0,6.46061129761,0.0
7.53938870239,0.0,7.46061129761,0.0
8.53938870239,0.0,8.46061129761,0.0
9.53938870239,0.0,9.46061129761,0.0
10.5393887024,0.0,10.4606112976,0.0
11.5393887024,0.0,11.4606112976,0.0
12.5393887024,0.0,12.4606112976,0.0
13.5393887024,0.0,13.4606112976,0.0
14.5393887024,0.0,14.4606112976,0.0
15.5393887024,0.0,15.4606112976,0.0
16.5393887024,0.0,16.4606112976,0.0
17.5393887024,0.0,17.4606112976,0.0
18.5393887024,0.0,18.4606112976,0.0
19.5393887024,0.0,19.4606112976,0.0
20.5393887024,0.0,20.4606112976,0.0
21.5393887024,0.0,21.4606112976,0.0
22.5393887024,0.0,22.4606112976,0.0
23.5393887024,0.0,23.4606112976,0.0
24.5393887024,0.0,24.4606112976,1.73
25.5393887024,0.0,25.4606112976,3.54
26.5393887024,0.0,26.4606112976,5.04
27.5393887024,0.0,27.4606112976,6.74
28.5393887024,0.0,28.4606112976,7.92
29.5393887024,0.0,29.4606112976,10.0
30.5393887024,1.8,30.4606112976,10.0
31.5393887024,3.34,31.4606112976,10.0
32.5393887024,6.25,32.4606112976,10.0
33.5393887024,11.62,33.4606112976,10.0
34.5393887024,16.71,34.4606112976,11.67
35.5393887024,21.52,35.4606112976,13.19
36.5393887024,25.35,36.4606112976,15.09
37.5393887024,28.59,37.4606112976,16.71
38.5393887024,30.0,38.4606112976,18.23
39.5393887024,30.0,39.4606112976,20.0
40.5393887024,30.0,40.4606112976,20.0
41.5393887024,30.0,41.4606112976,20.0
42.5393887024,30.0,42.4606112976,21.55
43.5393887024,30.0,43.4606112976,23.14
45.5393887024,39.96,44.4606112976,26.55
46.5393887024,45.27,45.4606112976,29.9
47.5393887024,48.16,46.4606112976,33.13
48.5393887024,51.54,47.4606112976,36.67
49.5393887024,54.93,48.4606112976,38.43
50.5393887024,58.25,49.4606112976,41.75
51.5393887024,61.57,50.4606112976,45.07
52.5393887024,63.33,51.4606112976,48.46
53.5393887024,66.87,52.4606112976,51.84
54.5393887024,70.1,53.4606112976,54.73
55.5393887024,73.45,54.4606112976,60.04
56.5393887024,76.86,56.4606112976,70.0
57.5393887024,78.45,57.4606112976,70.0
58.5393887024,80.0,58.4606112976,70.0
59.5393887024,80.0,59.4606112976,70.0
60.5393887024,80.0,60.4606112976,70.0
61.5393887024,81.77,61.4606112976,70.0
62.5393887024,83.29,62.4606112976,71.41
63.5393887024,84.91,63.4606112976,74.65
64.5393887024,86.81,64.4606112976,78.48
65.5393887024,88.33,65.4606112976,83.29
66.5393887024,90.0,66.4606112976,88.38
67.5393887024,90.0,67.4606112976,93.75
68.5393887024,90.0,68.4606112976,96.66
69.5393887024,90.0,69.4606112976,98.2
70.5393887024,90.0,70.4606112976,100.0
71.5393887024,92.08,71.4606112976,100.0
72.5393887024,93.26,72.4606112976,100.0
73.5393887024,94.96,73.4606112976,100.0
74.5393887024,96.46,74.4606112976,100.0
75.5393887024,98.27,75.4606112976,100.0
76.5393887024,100.0,76.4606112976,100.0
77.5393887024,100.0,77.4606112976,100.0
78.5393887024,100.0,78.4606112976,100.0
79.5393887024,100.0,79.4606112976,100.0
80.5393887024,100.0,80.4606112976,100.0
81.5393887024,100.0,81.4606112976,100.0
82.5393887024,100.0,82.4606112976,100.0
83.5393887024,100.0,83.4606112976,100.0
84.5393887024,100.0,84.4606112976,100.0
85.5393887024,100.0,85.4606112976,100.0
86.5393887024,100.0,86.4606112976,100.0
87.5393887024,100.0,87.4606112976,100.0
88.5393887024,100.0,88.4606112976,100.0
89.5393887024,100.0,89.4606112976,100.0
90.5393887024,100.0,90.4606112976,100.0
91.5393887024,100.0,91.4606112976,100.0
92.5393887024,100.0,92.4606112976,100.0
93.5393887024,100.0,93.4606112976,100.0
94.5393887024,100.0,94.4606112976,100.0
95.5393887024,100.0,95.4606112976,100.0
96.5393887024,100.0,96.4606112976,100.0
97.5393887024,100.0,97.4606112976,100.0
98.5393887024,100.0,98.4606112976,100.0
99.5393887024,100.0,99.4606112976,100.0
100,100,100,100
