votes,seatsR,seatsD
0,0,0
0.191915343547,0.0,0.0
1.19191534355,0.0,0.0
2.19191534355,0.0,0.0
3.19191534355,0.0,0.0
4.19191534355,0.0,0.0
5.19191534355,0.0,0.0
6.19191534355,0.0,0.0
7.19191534355,0.0,0.0
8.19191534355,0.0,0.0
9.19191534355,0.0,0.0
10.1919153435,0.0,0.0
11.1919153435,0.0,0.0
12.1919153435,0.0,0.0
13.1919153435,0.0,0.0
14.1919153435,0.0,0.0
15.1919153435,0.0,0.0
16.1919153435,0.0,0.0
17.1919153435,2.38571428571,0.0
18.1919153435,4.68571428571,0.0
19.1919153435,7.1,0.0
20.1919153435,9.55714285714,0.0
21.1919153435,11.5285714286,0.0
22.1919153435,14.2857142857,0.0
23.1919153435,14.2857142857,0.0
24.1919153435,14.2857142857,0.0
25.1919153435,14.2857142857,0.0
26.1919153435,14.2857142857,0.0
27.1919153435,14.2857142857,0.0
28.1919153435,14.2857142857,0.0
29.1919153435,14.2857142857,0.0
30.1919153435,14.2857142857,0.0
31.1919153435,14.2857142857,0.0
32.1919153435,14.2857142857,7.14285714286
33.1919153435,14.2857142857,11.9142857143
34.1919153435,14.2857142857,17.1428571429
35.1919153435,14.2857142857,21.4428571429
36.1919153435,14.2857142857,23.5571428571
37.1919153435,14.2857142857,25.9714285714
38.1919153435,14.2857142857,28.5714285714
39.1919153435,14.2857142857,28.5714285714
40.1919153435,14.2857142857,28.5714285714
41.1919153435,14.2857142857,28.5714285714
42.1919153435,16.7142857143,28.5714285714
43.1919153435,18.5714285714,28.5714285714
44.1919153435,21.3285714286,28.5714285714
45.1919153435,26.8714285714,33.2857142857
46.1919153435,31.3714285714,38.0285714286
47.1919153435,35.7,43.1571428571
48.1919153435,38.0285714286,47.2428571429
49.1919153435,42.7285714286,52.7428571429
50.1919153435,50.2714285714,59.5571428571
51.1919153435,54.5,61.7857142857
52.1919153435,59.8,63.9571428571
53.1919153435,64.3142857143,68.7
54.1919153435,68.7571428571,73.5285714286
55.1919153435,71.4285714286,78.7285714286
56.1919153435,71.4285714286,80.5285714286
57.1919153435,71.4285714286,83.3285714286
58.1919153435,71.4285714286,85.7142857143
59.1919153435,71.4285714286,85.7142857143
60.1919153435,71.4285714286,85.7142857143
61.1919153435,71.4285714286,85.7142857143
62.1919153435,74.0714285714,85.7142857143
63.1919153435,75.9857142857,85.7142857143
64.1919153435,78.5285714286,85.7142857143
65.1919153435,83.3428571429,85.7142857143
66.1919153435,88.5714285714,85.7142857143
68.1919153435,100.0,85.7142857143
69.1919153435,100.0,85.7142857143
70.1919153435,100.0,85.7142857143
71.1919153435,100.0,85.7142857143
72.1919153435,100.0,85.7142857143
73.1919153435,100.0,85.7142857143
74.1919153435,100.0,85.7142857143
75.1919153435,100.0,85.7142857143
76.1919153435,100.0,85.7142857143
77.1919153435,100.0,85.7142857143
78.1919153435,100.0,85.7142857143
79.1919153435,100.0,87.9857142857
80.1919153435,100.0,90.6
81.1919153435,100.0,93.0714285714
82.1919153435,100.0,95.1714285714
83.1919153435,100.0,97.3857142857
84.1919153435,100.0,100.0
85.1919153435,100.0,100.0
86.1919153435,100.0,100.0
87.1919153435,100.0,100.0
88.1919153435,100.0,100.0
89.1919153435,100.0,100.0
90.1919153435,100.0,100.0
91.1919153435,100.0,100.0
92.1919153435,100.0,100.0
93.1919153435,100.0,100.0
94.1919153435,100.0,100.0
95.1919153435,100.0,100.0
96.1919153435,100.0,100.0
97.1919153435,100.0,100.0
98.1919153435,100.0,100.0
99.1919153435,100.0,100.0
100,100,100
