votes,seatsR,seatsD
0,0,0
0.995313312151,2.13333333333,11.1111111111
1.99531331215,3.18888888889,11.1111111111
2.99531331215,4.18888888889,11.1111111111
3.99531331215,4.96666666667,11.1111111111
4.99531331215,6.11111111111,11.1111111111
5.99531331215,7.12222222222,11.1111111111
6.99531331215,8.15555555556,11.1111111111
7.99531331215,9.23333333333,11.1111111111
8.99531331215,10.1,11.1111111111
9.99531331215,11.1111111111,11.1111111111
10.9953133122,11.1111111111,11.1111111111
11.9953133122,11.1111111111,11.1111111111
12.9953133122,11.1111111111,11.1111111111
13.9953133122,11.1111111111,12.0333333333
14.9953133122,11.1111111111,12.9222222222
15.9953133122,11.1111111111,14.4444444444
16.9953133122,11.1111111111,15.1222222222
17.9953133122,11.1111111111,16.2111111111
18.9953133122,11.1111111111,16.8444444444
19.9953133122,11.1111111111,18.2444444444
20.9953133122,11.1111111111,19.3
21.9953133122,11.1111111111,20.3222222222
22.9953133122,11.1111111111,21.1777777778
23.9953133122,11.1111111111,22.2222222222
24.9953133122,11.1111111111,22.2222222222
25.9953133122,11.1111111111,22.2222222222
26.9953133122,11.1111111111,22.2222222222
27.9953133122,12.1888888889,22.2222222222
28.9953133122,13.0777777778,23.0888888889
29.9953133122,14.0777777778,24.5
30.9953133122,14.8111111111,24.9111111111
31.9953133122,16.1,26.4777777778
32.9953133122,17.1888888889,27.4111111111
33.9953133122,18.1444444444,28.2333333333
34.9953133122,20.3666666667,29.2888888889
35.9953133122,22.2888888889,31.2888888889
36.9953133122,25.8444444444,33.6777777778
37.9953133122,28.3,35.8555555556
38.9953133122,30.0666666667,37.3444444444
39.9953133122,32.3111111111,38.1777777778
40.9953133122,34.5888888889,39.5555555556
41.9953133122,36.0666666667,40.5222222222
42.9953133122,39.6888888889,41.2
43.9953133122,42.4333333333,42.3
44.9953133122,45.5222222222,43.4444444444
45.9953133122,47.4111111111,43.5
46.9953133122,49.5333333333,45.5222222222
47.9953133122,50.4666666667,46.3444444444
48.9953133122,51.5111111111,47.4333333333
49.9953133122,52.6444444444,48.6222222222
50.9953133122,53.6,49.4444444444
51.9953133122,54.6333333333,50.5777777778
52.9953133122,56.5222222222,52.5222222222
53.9953133122,57.6,54.6444444444
55.9953133122,57.6,57.7888888889
56.9953133122,58.6333333333,60.6222222222
57.9953133122,59.7111111111,63.4666666667
58.9953133122,60.4888888889,65.6888888889
59.9953133122,61.4444444444,67.3888888889
60.9953133122,62.8777777778,69.7444444444
61.9953133122,64.7666666667,71.8777777778
62.9953133122,66.2333333333,74.7555555556
63.9953133122,68.4888888889,77.5555555556
64.9953133122,70.5,79.4888888889
65.9953133122,71.8,81.6666666667
66.9953133122,72.7333333333,82.7888888889
67.9953133122,73.7666666667,83.8111111111
68.9953133122,74.6888888889,84.8
69.9953133122,76.0888888889,86.0666666667
70.9953133122,76.6666666667,86.8111111111
71.9953133122,77.7777777778,87.9444444444
72.9953133122,77.7777777778,88.8888888889
73.9953133122,77.7777777778,88.8888888889
74.9953133122,77.7777777778,88.8888888889
75.9953133122,77.7777777778,88.8888888889
76.9953133122,78.9333333333,88.8888888889
77.9953133122,79.7,88.8888888889
78.9953133122,80.5666666667,88.8888888889
79.9953133122,81.6555555556,88.8888888889
80.9953133122,82.6,88.8888888889
81.9953133122,84.0777777778,88.8888888889
82.9953133122,84.8555555556,88.8888888889
83.9953133122,85.9555555556,88.8888888889
84.9953133122,86.6666666667,88.8888888889
85.9953133122,87.9111111111,88.8888888889
86.9953133122,88.8888888889,88.8888888889
87.9953133122,88.8888888889,88.8888888889
88.9953133122,88.8888888889,88.8888888889
89.9953133122,88.8888888889,88.8888888889
90.9953133122,88.8888888889,88.8888888889
91.9953133122,88.8888888889,89.9
92.9953133122,88.8888888889,90.7666666667
93.9953133122,88.8888888889,91.8444444444
94.9953133122,88.8888888889,92.8777777778
95.9953133122,88.8888888889,93.8888888889
96.9953133122,88.8888888889,95.0333333333
97.9953133122,88.8888888889,95.8111111111
98.9953133122,88.8888888889,96.8111111111
99.9953133122,88.8888888889,97.8666666667
100,100,100
