votes,seatsR,seatsD
0,0,0
0.951124137077,0.0,0.0
1.95112413708,0.0,0.0
2.95112413708,0.0,0.0
3.95112413708,0.0,0.0
4.95112413708,0.0,0.0
5.95112413708,0.0,0.0
6.95112413708,0.0,0.0
7.95112413708,0.0,0.0
8.95112413708,0.0,0.0
9.95112413708,0.0,0.0
10.9511241371,0.0,0.0
11.9511241371,0.0,0.0
12.9511241371,0.192452830189,0.0
13.9511241371,0.375471698113,0.0
14.9511241371,0.650943396226,0.0
15.9511241371,1.01132075472,0.198113207547
16.9511241371,1.38113207547,0.311320754717
17.9511241371,1.69056603774,0.518867924528
18.9511241371,2.25471698113,0.716981132075
19.9511241371,3.09811320755,0.894339622642
20.9511241371,3.95660377358,0.98679245283
21.9511241371,4.83962264151,1.19056603774
22.9511241371,5.9,1.31886792453
23.9511241371,7.02830188679,1.56037735849
24.9511241371,8.70754716981,1.7
25.9511241371,10.3169811321,1.88679245283
26.9511241371,11.8943396226,1.88679245283
27.9511241371,13.3981132075,1.88679245283
28.9511241371,15.0905660377,2.06037735849
29.9511241371,16.7679245283,2.57735849057
30.9511241371,18.0094339623,3.47924528302
31.9511241371,19.5509433962,6.00754716981
32.9511241371,21.0754716981,8.75660377358
33.9511241371,22.6094339623,12.241509434
34.9511241371,23.7547169811,16.4075471698
35.9511241371,24.6528301887,20.2226415094
36.9511241371,25.5641509434,24.4528301887
38.9511241371,25.5452830189,28.5075471698
39.9511241371,26.4283018868,32.7698113208
40.9511241371,27.5433962264,37.241509434
41.9511241371,28.7547169811,41.2490566038
42.9511241371,30.1660377358,45.3830188679
43.9511241371,31.7037735849,47.6377358491
44.9511241371,33.020754717,49.7905660377
45.9511241371,34.1830188679,51.4716981132
46.9511241371,35.7320754717,52.9924528302
47.9511241371,37.2811320755,54.2943396226
48.9511241371,38.7358490566,55.6943396226
49.9511241371,40.2509433962,57.3075471698
50.9511241371,41.941509434,59.3037735849
51.9511241371,43.8301886792,60.8452830189
52.9511241371,45.3433962264,62.2811320755
53.9511241371,46.7,63.7547169811
54.9511241371,48.179245283,65.1830188679
55.9511241371,49.8169811321,66.741509434
56.9511241371,51.8830188679,68.0113207547
57.9511241371,54.3962264151,69.358490566
58.9511241371,56.5132075472,70.8735849057
59.9511241371,60.7716981132,72.2773584906
60.9511241371,65.0622641509,73.4301886792
61.9511241371,69.4188679245,74.4150943396
62.9511241371,73.4905660377,75.3132075472
63.9511241371,77.6528301887,75.3377358491
64.9511241371,81.8018867925,76.3603773585
65.9511241371,85.458490566,77.2660377358
66.9511241371,89.3056603774,79.0075471698
67.9511241371,92.2339622642,80.4679245283
68.9511241371,94.7245283019,81.9528301887
69.9511241371,97.2301886792,83.3698113208
70.9511241371,97.9433962264,84.7811320755
71.9511241371,98.1132075472,86.6226415094
72.9511241371,98.1132075472,88.1735849057
73.9511241371,98.1132075472,89.6150943396
74.9511241371,98.2811320755,91.241509434
75.9511241371,98.4698113208,92.858490566
76.9511241371,98.6075471698,94.2943396226
77.9511241371,98.8547169811,95.1509433962
78.9511241371,98.9735849057,95.9735849057
79.9511241371,99.1811320755,96.9018867925
80.9511241371,99.3,97.7679245283
81.9511241371,99.4811320755,98.2603773585
82.9511241371,99.6679245283,98.6641509434
83.9511241371,99.841509434,98.9679245283
84.9511241371,100.0,99.341509434
85.9511241371,100.0,99.6471698113
86.9511241371,100.0,99.8075471698
87.9511241371,100.0,100.0
88.9511241371,100.0,100.0
89.9511241371,100.0,100.0
90.9511241371,100.0,100.0
91.9511241371,100.0,100.0
92.9511241371,100.0,100.0
93.9511241371,100.0,100.0
94.9511241371,100.0,100.0
95.9511241371,100.0,100.0
96.9511241371,100.0,100.0
97.9511241371,100.0,100.0
98.9511241371,100.0,100.0
99.9511241371,100.0,100.0
100,100,100
