votesR,seatsR,votesD,seatsD
0,0,0,0
0.84208160534,0.0,0.15791839466,0.0
1.84208160534,0.0,1.15791839466,0.0
2.84208160534,0.0,2.15791839466,0.0
3.84208160534,0.0,3.15791839466,0.0
4.84208160534,0.0,4.15791839466,0.0
5.84208160534,0.0,5.15791839466,0.0
6.84208160534,0.0,6.15791839466,0.0
7.84208160534,0.0,7.15791839466,0.0
8.84208160534,0.0,8.15791839466,0.0
9.84208160534,0.0,9.15791839466,0.0
10.8420816053,0.0,10.1579183947,0.0
11.8420816053,0.0,11.1579183947,0.0
12.8420816053,0.0,12.1579183947,0.0
13.8420816053,0.0,13.1579183947,0.0
14.8420816053,0.0,14.1579183947,0.0
15.8420816053,0.0,15.1579183947,0.0
16.8420816053,0.0,16.1579183947,0.0
17.8420816053,0.0,17.1579183947,0.0
18.8420816053,0.0,18.1579183947,0.0
19.8420816053,0.0,19.1579183947,0.0
20.8420816053,0.0,20.1579183947,0.0
21.8420816053,0.0,21.1579183947,0.0
22.8420816053,0.0,22.1579183947,0.0
23.8420816053,0.0,23.1579183947,0.0
24.8420816053,0.0,24.1579183947,0.0
25.8420816053,0.0,25.1579183947,0.0
26.8420816053,0.0,26.1579183947,0.0
27.8420816053,0.0,27.1579183947,0.0
28.8420816053,0.0,28.1579183947,0.0
29.8420816053,0.0,29.1579183947,0.0
30.8420816053,0.0,30.1579183947,0.0
31.8420816053,0.0,31.1579183947,0.0
32.8420816053,0.0,32.1579183947,0.0
33.8420816053,0.0,33.1579183947,0.0
34.8420816053,0.0,34.1579183947,0.0
35.8420816053,0.0,35.1579183947,0.0
36.8420816053,0.0,36.1579183947,0.0
38.8420816053,0.0,37.1579183947,0.0
39.8420816053,0.0,38.1579183947,0.0
40.8420816053,3.08,39.1579183947,0.0
41.8420816053,6.62,40.1579183947,0.0
42.8420816053,9.78,41.1579183947,0.0
43.8420816053,13.24,42.1579183947,0.0
44.8420816053,20.2,43.1579183947,0.0
45.8420816053,26.42,44.1579183947,0.0
46.8420816053,33.48,45.1579183947,3.38
47.8420816053,43.16,46.1579183947,6.42
48.8420816053,52.94,47.1579183947,10.58
49.8420816053,63.7,48.1579183947,16.68
50.8420816053,73.46,49.1579183947,26.54
51.8420816053,83.32,50.1579183947,36.3
52.8420816053,89.42,51.1579183947,47.06
53.8420816053,93.58,52.1579183947,56.84
54.8420816053,96.62,53.1579183947,66.52
55.8420816053,100.0,54.1579183947,73.58
56.8420816053,100.0,55.1579183947,79.8
57.8420816053,100.0,56.1579183947,86.76
58.8420816053,100.0,57.1579183947,90.22
59.8420816053,100.0,58.1579183947,93.38
60.8420816053,100.0,59.1579183947,96.92
61.8420816053,100.0,60.1579183947,100.0
62.8420816053,100.0,61.1579183947,100.0
63.8420816053,100.0,63.1579183947,100.0
64.8420816053,100.0,64.1579183947,100.0
65.8420816053,100.0,65.1579183947,100.0
66.8420816053,100.0,66.1579183947,100.0
67.8420816053,100.0,67.1579183947,100.0
68.8420816053,100.0,68.1579183947,100.0
69.8420816053,100.0,69.1579183947,100.0
70.8420816053,100.0,70.1579183947,100.0
71.8420816053,100.0,71.1579183947,100.0
72.8420816053,100.0,72.1579183947,100.0
73.8420816053,100.0,73.1579183947,100.0
74.8420816053,100.0,74.1579183947,100.0
75.8420816053,100.0,75.1579183947,100.0
76.8420816053,100.0,76.1579183947,100.0
77.8420816053,100.0,77.1579183947,100.0
78.8420816053,100.0,78.1579183947,100.0
79.8420816053,100.0,79.1579183947,100.0
80.8420816053,100.0,80.1579183947,100.0
81.8420816053,100.0,81.1579183947,100.0
82.8420816053,100.0,82.1579183947,100.0
83.8420816053,100.0,83.1579183947,100.0
84.8420816053,100.0,84.1579183947,100.0
85.8420816053,100.0,85.1579183947,100.0
86.8420816053,100.0,86.1579183947,100.0
87.8420816053,100.0,87.1579183947,100.0
88.8420816053,100.0,88.1579183947,100.0
89.8420816053,100.0,89.1579183947,100.0
90.8420816053,100.0,90.1579183947,100.0
91.8420816053,100.0,91.1579183947,100.0
92.8420816053,100.0,92.1579183947,100.0
93.8420816053,100.0,93.1579183947,100.0
94.8420816053,100.0,94.1579183947,100.0
95.8420816053,100.0,95.1579183947,100.0
96.8420816053,100.0,96.1579183947,100.0
97.8420816053,100.0,97.1579183947,100.0
98.8420816053,100.0,98.1579183947,100.0
99.8420816053,100.0,99.1579183947,100.0
100,100,100,100
