votesR,seatsR,votesD,seatsD
0,0,0,0
0.252669039146,0.0,0.747330960854,0.0
1.25266903915,0.0,1.74733096085,0.0
2.25266903915,0.0,2.74733096085,0.0
3.25266903915,0.685185185185,3.74733096085,0.0
4.25266903915,1.22592592593,4.74733096085,0.0
5.25266903915,1.9,5.74733096085,0.0
6.25266903915,2.54444444444,6.74733096085,0.0
7.25266903915,3.12222222222,7.74733096085,0.0
8.25266903915,3.7037037037,8.74733096085,0.0
9.25266903915,3.7037037037,9.74733096085,0.0
10.2526690391,3.7037037037,10.7473309609,0.0
11.2526690391,3.7037037037,11.7473309609,0.0
12.2526690391,3.7037037037,12.7473309609,0.0
13.2526690391,3.7037037037,13.7473309609,0.0
14.2526690391,3.7037037037,14.7473309609,0.581481481481
15.2526690391,3.7037037037,15.7473309609,1.32592592593
16.2526690391,3.7037037037,16.7473309609,1.9037037037
17.2526690391,3.7037037037,17.7473309609,2.5037037037
18.2526690391,3.7037037037,18.7473309609,3.05185185185
19.2526690391,3.7037037037,19.7473309609,3.7037037037
20.2526690391,3.7037037037,20.7473309609,3.7037037037
21.2526690391,3.7037037037,21.7473309609,3.7037037037
22.2526690391,3.7037037037,22.7473309609,3.7037037037
23.2526690391,3.7037037037,23.7473309609,3.7037037037
24.2526690391,3.7037037037,24.7473309609,3.7037037037
25.2526690391,3.7037037037,25.7473309609,3.7037037037
26.2526690391,3.7037037037,26.7473309609,3.7037037037
27.2526690391,3.7037037037,27.7473309609,3.7037037037
28.2526690391,3.7037037037,28.7473309609,3.7037037037
29.2526690391,3.7037037037,29.7473309609,3.7037037037
30.2526690391,3.7037037037,30.7473309609,5.56666666667
31.2526690391,3.7037037037,31.7473309609,7.53703703704
32.2526690391,3.7037037037,32.7473309609,9.13333333333
33.2526690391,3.7037037037,33.7473309609,11.7777777778
34.2526690391,4.96296296296,34.7473309609,14.2703703704
35.2526690391,6.74444444444,35.7473309609,16.6481481481
36.2526690391,9.30740740741,36.7473309609,18.4
37.2526690391,11.5444444444,37.7473309609,20.8851851852
38.2526690391,15.4777777778,38.7473309609,23.3888888889
39.2526690391,19.7740740741,39.7473309609,25.5111111111
40.2526690391,23.4888888889,40.7473309609,27.1481481481
41.2526690391,26.6888888889,41.7473309609,29.0333333333
42.2526690391,29.1259259259,42.7473309609,29.6296296296
43.2526690391,31.4851851852,43.7473309609,30.9148148148
44.2526690391,33.3333333333,44.7473309609,32.0074074074
45.2526690391,35.8555555556,46.7473309609,38.9185185185
46.2526690391,38.9703703704,47.7473309609,40.6703703704
47.2526690391,41.7814814815,48.7473309609,42.6185185185
48.2526690391,45.5222222222,49.7473309609,45.7148148148
49.2526690391,49.9814814815,50.7473309609,50.0185185185
50.2526690391,54.2851851852,51.7473309609,54.4777777778
51.2526690391,57.3814814815,52.7473309609,58.2185185185
52.2526690391,59.3296296296,53.7473309609,61.0296296296
53.2526690391,61.0814814815,54.7473309609,64.1444444444
55.2526690391,67.9925925926,55.7473309609,66.6666666667
56.2526690391,69.0851851852,56.7473309609,68.5148148148
57.2526690391,70.3703703704,57.7473309609,70.8740740741
58.2526690391,70.9666666667,58.7473309609,73.3111111111
59.2526690391,72.8518518519,59.7473309609,76.5111111111
60.2526690391,74.4888888889,60.7473309609,80.2259259259
61.2526690391,76.6111111111,61.7473309609,84.5222222222
62.2526690391,79.1148148148,62.7473309609,88.4555555556
63.2526690391,81.6,63.7473309609,90.6925925926
64.2526690391,83.3518518519,64.7473309609,93.2555555556
65.2526690391,85.7296296296,65.7473309609,95.037037037
66.2526690391,88.2222222222,66.7473309609,96.2962962963
67.2526690391,90.8666666667,67.7473309609,96.2962962963
68.2526690391,92.462962963,68.7473309609,96.2962962963
69.2526690391,94.4333333333,69.7473309609,96.2962962963
70.2526690391,96.2962962963,70.7473309609,96.2962962963
71.2526690391,96.2962962963,71.7473309609,96.2962962963
72.2526690391,96.2962962963,72.7473309609,96.2962962963
73.2526690391,96.2962962963,73.7473309609,96.2962962963
74.2526690391,96.2962962963,74.7473309609,96.2962962963
75.2526690391,96.2962962963,75.7473309609,96.2962962963
76.2526690391,96.2962962963,76.7473309609,96.2962962963
77.2526690391,96.2962962963,77.7473309609,96.2962962963
78.2526690391,96.2962962963,78.7473309609,96.2962962963
79.2526690391,96.2962962963,79.7473309609,96.2962962963
80.2526690391,96.2962962963,80.7473309609,96.2962962963
81.2526690391,96.9481481481,81.7473309609,96.2962962963
82.2526690391,97.4962962963,82.7473309609,96.2962962963
83.2526690391,98.0962962963,83.7473309609,96.2962962963
84.2526690391,98.6740740741,84.7473309609,96.2962962963
85.2526690391,99.4185185185,85.7473309609,96.2962962963
86.2526690391,100.0,86.7473309609,96.2962962963
87.2526690391,100.0,87.7473309609,96.2962962963
88.2526690391,100.0,88.7473309609,96.2962962963
89.2526690391,100.0,89.7473309609,96.2962962963
90.2526690391,100.0,90.7473309609,96.2962962963
91.2526690391,100.0,91.7473309609,96.2962962963
92.2526690391,100.0,92.7473309609,96.8777777778
93.2526690391,100.0,93.7473309609,97.4555555556
94.2526690391,100.0,94.7473309609,98.1
95.2526690391,100.0,95.7473309609,98.7740740741
96.2526690391,100.0,96.7473309609,99.3148148148
97.2526690391,100.0,97.7473309609,100.0
98.2526690391,100.0,98.7473309609,100.0
99.2526690391,100.0,99.7473309609,100.0
100,100,100,100
