votes,seatsR,seatsD
0,0,0
0.398977578353,0.0,0.678571428571
1.39897757835,0.0,1.36428571429
2.39897757835,0.0,1.97857142857
3.39897757835,0.0,2.62142857143
4.39897757835,0.0,3.15
5.39897757835,0.0,3.73571428571
6.39897757835,0.0,4.68571428571
7.39897757835,0.0,5.19285714286
8.39897757835,0.0,5.70714285714
9.39897757835,0.0,6.47857142857
10.3989775784,0.0,7.77142857143
11.3989775784,0.0,8.4
12.3989775784,0.0,9.15714285714
13.3989775784,0.0,9.72142857143
14.3989775784,0.0,10.3428571429
15.3989775784,0.0,11.0142857143
16.3989775784,0.0,11.7642857143
17.3989775784,0.0,12.4214285714
18.3989775784,0.0,13.1428571429
19.3989775784,0.0,13.6714285714
20.3989775784,0.0,14.2857142857
21.3989775784,0.0,14.2857142857
22.3989775784,0.0,14.2857142857
23.3989775784,0.0,14.95
24.3989775784,0.0,15.7214285714
25.3989775784,0.0,16.3428571429
26.3989775784,0.0,16.9142857143
27.3989775784,0.0,17.5714285714
28.3989775784,1.74285714286,18.1071428571
29.3989775784,5.37857142857,19.1714285714
30.3989775784,8.6,19.4785714286
31.3989775784,11.8214285714,20.15
32.3989775784,15.0785714286,20.7714285714
33.3989775784,17.8071428571,21.4285714286
34.3989775784,22.0071428571,21.4285714286
35.3989775784,25.1,21.4285714286
36.3989775784,30.4428571429,21.4285714286
37.3989775784,35.5642857143,21.4285714286
38.3989775784,40.7571428571,21.4285714286
39.3989775784,44.2857142857,21.4285714286
40.3989775784,46.0071428571,21.4285714286
41.3989775784,47.8,21.4285714286
42.3989775784,50.8857142857,21.4285714286
43.3989775784,55.4214285714,21.4285714286
44.3989775784,59.2357142857,21.4285714286
45.3989775784,62.8714285714,21.4285714286
46.3989775784,66.1714285714,22.0071428571
47.3989775784,68.3,24.0428571429
48.3989775784,70.0142857143,25.8785714286
49.3989775784,72.2428571429,27.7571428571
50.3989775784,74.1214285714,29.9857142857
51.3989775784,75.9571428571,31.7
52.3989775784,77.9928571429,33.8285714286
53.3989775784,78.5714285714,37.1285714286
54.3989775784,78.5714285714,40.7642857143
55.3989775784,78.5714285714,44.5785714286
56.3989775784,78.5714285714,49.1142857143
57.3989775784,78.5714285714,52.2
58.3989775784,78.5714285714,53.9928571429
60.3989775784,78.5714285714,55.7142857143
61.3989775784,78.5714285714,57.9142857143
62.3989775784,78.5714285714,63.2642857143
63.3989775784,78.5714285714,68.3571428571
64.3989775784,78.5714285714,73.55
65.3989775784,78.5714285714,76.7285714286
66.3989775784,78.5714285714,80.7571428571
67.3989775784,79.2285714286,83.6357142857
68.3989775784,79.85,86.8857142857
69.3989775784,80.5214285714,90.0428571429
70.3989775784,80.8285714286,93.4785714286
71.3989775784,81.8928571429,96.8571428571
72.3989775784,82.4285714286,100.0
73.3989775784,83.0857142857,100.0
74.3989775784,83.6571428571,100.0
75.3989775784,84.2785714286,100.0
76.3989775784,85.05,100.0
77.3989775784,85.7142857143,100.0
78.3989775784,85.7142857143,100.0
79.3989775784,85.7142857143,100.0
80.3989775784,85.7142857143,100.0
81.3989775784,86.2428571429,100.0
82.3989775784,86.9642857143,100.0
83.3989775784,87.6142857143,100.0
84.3989775784,88.3714285714,100.0
85.3989775784,89.0357142857,100.0
86.3989775784,89.7142857143,100.0
87.3989775784,90.2285714286,100.0
88.3989775784,90.9,100.0
89.3989775784,91.6285714286,100.0
90.3989775784,92.9571428571,100.0
91.3989775784,94.2928571429,100.0
92.3989775784,94.8071428571,100.0
93.3989775784,95.3142857143,100.0
94.3989775784,96.2642857143,100.0
95.3989775784,96.85,100.0
96.3989775784,97.3785714286,100.0
97.3989775784,98.0214285714,100.0
98.3989775784,98.6357142857,100.0
99.3989775784,99.3214285714,100.0
100,100,100
