votesR,seatsR,votesD,seatsD
0,0,0,0
0.843223317943,0.0,0.156776682057,0.0
1.84322331794,0.0,1.15677668206,0.0
2.84322331794,0.0,2.15677668206,0.0
3.84322331794,0.0,3.15677668206,0.0
4.84322331794,0.0,4.15677668206,0.0
5.84322331794,0.0,5.15677668206,0.0
6.84322331794,0.0,6.15677668206,0.0
7.84322331794,0.0,7.15677668206,0.0
8.84322331794,0.0,8.15677668206,0.0
9.84322331794,0.0,9.15677668206,0.0
10.8432233179,0.0,10.1567766821,0.0
11.8432233179,0.0,11.1567766821,0.0
12.8432233179,0.0,12.1567766821,0.0
13.8432233179,0.0,13.1567766821,0.0
14.8432233179,0.0,14.1567766821,0.0
15.8432233179,0.0,15.1567766821,0.0
16.8432233179,0.0,16.1567766821,0.0
17.8432233179,0.0,17.1567766821,0.0
19.8432233179,0.0,18.1567766821,0.0
20.8432233179,0.0,19.1567766821,0.0
21.8432233179,0.0,20.1567766821,0.0
22.8432233179,0.0,21.1567766821,0.0
23.8432233179,0.0,22.1567766821,0.0
24.8432233179,0.0,23.1567766821,0.0
25.8432233179,0.0,24.1567766821,0.0
26.8432233179,0.0,25.1567766821,0.0
27.8432233179,0.0,26.1567766821,0.0
28.8432233179,0.0,27.1567766821,0.0
29.8432233179,0.0,28.1567766821,0.0
30.8432233179,0.0,29.1567766821,0.0
31.8432233179,0.0,30.1567766821,0.0
32.8432233179,0.0,31.1567766821,0.0
33.8432233179,0.0,32.1567766821,0.0
34.8432233179,0.0,33.1567766821,0.0
35.8432233179,0.0,34.1567766821,0.0
36.8432233179,0.0,35.1567766821,0.0
37.8432233179,0.0,36.1567766821,0.0
38.8432233179,0.0,37.1567766821,0.0
39.8432233179,0.0,38.1567766821,0.0
40.8432233179,0.0,39.1567766821,0.0
41.8432233179,0.0,40.1567766821,0.0
42.8432233179,0.0,41.1567766821,0.0
43.8432233179,0.0,42.1567766821,0.0
44.8432233179,0.0,43.1567766821,0.0
45.8432233179,0.0,44.1567766821,0.0
46.8432233179,16.7,45.1567766821,0.0
47.8432233179,31.6,46.1567766821,0.0
48.8432233179,49.6,47.1567766821,0.0
49.8432233179,63.5,48.1567766821,0.0
50.8432233179,83.9,49.1567766821,16.1
51.8432233179,100.0,50.1567766821,36.5
52.8432233179,100.0,51.1567766821,50.4
53.8432233179,100.0,52.1567766821,68.4
54.8432233179,100.0,53.1567766821,83.3
55.8432233179,100.0,54.1567766821,100.0
56.8432233179,100.0,55.1567766821,100.0
57.8432233179,100.0,56.1567766821,100.0
58.8432233179,100.0,57.1567766821,100.0
59.8432233179,100.0,58.1567766821,100.0
60.8432233179,100.0,59.1567766821,100.0
61.8432233179,100.0,60.1567766821,100.0
62.8432233179,100.0,61.1567766821,100.0
63.8432233179,100.0,62.1567766821,100.0
64.8432233179,100.0,63.1567766821,100.0
65.8432233179,100.0,64.1567766821,100.0
66.8432233179,100.0,65.1567766821,100.0
67.8432233179,100.0,66.1567766821,100.0
68.8432233179,100.0,67.1567766821,100.0
69.8432233179,100.0,68.1567766821,100.0
70.8432233179,100.0,69.1567766821,100.0
71.8432233179,100.0,70.1567766821,100.0
72.8432233179,100.0,71.1567766821,100.0
73.8432233179,100.0,72.1567766821,100.0
74.8432233179,100.0,73.1567766821,100.0
75.8432233179,100.0,74.1567766821,100.0
76.8432233179,100.0,75.1567766821,100.0
77.8432233179,100.0,76.1567766821,100.0
78.8432233179,100.0,77.1567766821,100.0
79.8432233179,100.0,78.1567766821,100.0
80.8432233179,100.0,79.1567766821,100.0
81.8432233179,100.0,80.1567766821,100.0
82.8432233179,100.0,82.1567766821,100.0
83.8432233179,100.0,83.1567766821,100.0
84.8432233179,100.0,84.1567766821,100.0
85.8432233179,100.0,85.1567766821,100.0
86.8432233179,100.0,86.1567766821,100.0
87.8432233179,100.0,87.1567766821,100.0
88.8432233179,100.0,88.1567766821,100.0
89.8432233179,100.0,89.1567766821,100.0
90.8432233179,100.0,90.1567766821,100.0
91.8432233179,100.0,91.1567766821,100.0
92.8432233179,100.0,92.1567766821,100.0
93.8432233179,100.0,93.1567766821,100.0
94.8432233179,100.0,94.1567766821,100.0
95.8432233179,100.0,95.1567766821,100.0
96.8432233179,100.0,96.1567766821,100.0
97.8432233179,100.0,97.1567766821,100.0
98.8432233179,100.0,98.1567766821,100.0
99.8432233179,100.0,99.1567766821,100.0
100,100,100,100
