votes,seatsR,seatsD
0,0,0
0.611344911692,0.0,0.0
1.61134491169,0.0,0.0
2.61134491169,0.0,0.0
3.61134491169,0.0,0.0
4.61134491169,0.0,0.0
5.61134491169,0.0,0.0
6.61134491169,0.0,0.0
7.61134491169,0.0,0.0
8.61134491169,0.0,0.0
9.61134491169,0.0,0.0
10.6113449117,0.0,0.0
11.6113449117,0.0,0.0
12.6113449117,0.0,0.0
13.6113449117,0.0,0.0
14.6113449117,0.0,0.0
15.6113449117,0.0,0.477777777778
16.6113449117,0.0,1.04444444444
17.6113449117,0.0,1.45
18.6113449117,1.11111111111,2.08333333333
19.6113449117,2.04444444444,2.46111111111
20.6113449117,3.23888888889,4.01111111111
21.6113449117,5.09444444444,6.12777777778
22.6113449117,6.57777777778,8.0
23.6113449117,8.10555555556,10.3
24.6113449117,9.78888888889,12.4444444444
25.6113449117,11.1611111111,15.1833333333
26.6113449117,12.5055555556,17.0333333333
27.6113449117,14.0444444444,19.1055555556
28.6113449117,15.7388888889,21.4388888889
29.6113449117,16.1722222222,23.8722222222
30.6113449117,16.6666666667,26.3388888889
31.6113449117,16.6666666667,27.9777777778
32.6113449117,16.6666666667,28.8888888889
33.6113449117,18.1111111111,29.8444444444
34.6113449117,19.5888888889,30.7388888889
35.6113449117,22.0277777778,32.2222222222
36.6113449117,24.4777777778,33.6833333333
37.6113449117,27.3444444444,35.7277777778
38.6113449117,29.7833333333,38.0
39.6113449117,32.3722222222,39.8333333333
40.6113449117,34.7944444444,41.3388888889
41.6113449117,37.4,43.1
42.6113449117,39.7333333333,44.4333333333
43.6113449117,42.4888888889,46.2166666667
44.6113449117,43.2944444444,48.6277777778
45.6113449117,44.9444444444,50.4333333333
46.6113449117,45.5666666667,51.5277777778
47.6113449117,45.9777777778,52.3722222222
49.6113449117,45.8944444444,53.2166666667
50.6113449117,46.5222222222,53.4777777778
51.6113449117,46.7833333333,54.1055555556
52.6113449117,47.6277777778,54.0222222222
53.6113449117,48.4722222222,54.4333333333
54.6113449117,49.5666666667,55.0555555556
55.6113449117,51.3722222222,56.7055555556
56.6113449117,53.7833333333,57.5111111111
57.6113449117,55.5666666667,60.2666666667
58.6113449117,56.9,62.6
59.6113449117,58.6611111111,65.2055555556
60.6113449117,60.1666666667,67.6277777778
61.6113449117,62.0,70.2166666667
62.6113449117,64.2722222222,72.6555555556
63.6113449117,66.3166666667,75.5222222222
64.6113449117,67.7777777778,77.9722222222
65.6113449117,69.2611111111,80.4111111111
66.6113449117,70.1555555556,81.8888888889
67.6113449117,71.1111111111,83.3333333333
68.6113449117,72.0222222222,83.3333333333
69.6113449117,73.6611111111,83.8277777778
70.6113449117,76.1277777778,84.3944444444
71.6113449117,78.5611111111,84.7888888889
72.6113449117,80.8944444444,86.4
73.6113449117,82.9666666667,87.9833333333
74.6113449117,85.2666666667,89.3166666667
75.6113449117,88.0611111111,90.7555555556
76.6113449117,90.2111111111,92.3888888889
77.6113449117,92.5111111111,93.9055555556
78.6113449117,94.4166666667,95.4666666667
79.6113449117,96.5,97.1888888889
80.6113449117,98.0888888889,97.9555555556
81.6113449117,98.3888888889,98.8888888889
82.6113449117,99.0555555556,100.0
83.6113449117,99.4888888889,100.0
84.6113449117,100.0,100.0
85.6113449117,100.0,100.0
86.6113449117,100.0,100.0
87.6113449117,100.0,100.0
88.6113449117,100.0,100.0
89.6113449117,100.0,100.0
90.6113449117,100.0,100.0
91.6113449117,100.0,100.0
92.6113449117,100.0,100.0
93.6113449117,100.0,100.0
94.6113449117,100.0,100.0
95.6113449117,100.0,100.0
96.6113449117,100.0,100.0
97.6113449117,100.0,100.0
98.6113449117,100.0,100.0
99.6113449117,100.0,100.0
100,100,100
