votes,seatsR,seatsD
0,0,0
0.81460721426,0.0,11.1111111111
1.81460721426,0.0,11.1111111111
2.81460721426,0.0,11.1111111111
3.81460721426,0.0,11.1111111111
4.81460721426,0.0,11.1111111111
5.81460721426,0.0,11.1111111111
6.81460721426,0.0,11.1111111111
7.81460721426,0.0,11.1111111111
8.81460721426,0.0,11.1111111111
9.81460721426,0.0,11.1111111111
10.8146072143,0.0,11.1111111111
11.8146072143,0.0,11.1111111111
12.8146072143,0.0,11.1111111111
13.8146072143,0.0,11.1111111111
14.8146072143,0.0,11.1111111111
15.8146072143,0.0,11.1111111111
16.8146072143,0.0,11.1111111111
17.8146072143,0.0,11.1111111111
18.8146072143,0.0,11.1111111111
19.8146072143,0.0,11.1111111111
20.8146072143,0.0,11.1111111111
21.8146072143,0.0,11.1111111111
22.8146072143,0.0,11.1111111111
23.8146072143,0.0,12.0111111111
24.8146072143,0.0,13.0333333333
25.8146072143,0.0,14.1777777778
26.8146072143,0.922222222222,15.4888888889
27.8146072143,1.8,15.9111111111
28.8146072143,3.03333333333,17.4888888889
29.8146072143,4.92222222222,17.9777777778
30.8146072143,7.21111111111,19.1222222222
31.8146072143,9.11111111111,20.1555555556
32.8146072143,11.0888888889,21.4
33.8146072143,13.2333333333,22.2222222222
34.8146072143,16.4333333333,22.2222222222
35.8146072143,19.9,22.2222222222
36.8146072143,24.2333333333,22.2222222222
37.8146072143,28.1666666667,22.2222222222
38.8146072143,32.3777777778,22.2222222222
39.8146072143,36.4444444444,22.2222222222
40.8146072143,40.5111111111,22.2222222222
41.8146072143,44.6,22.2222222222
42.8146072143,48.1444444444,22.2222222222
43.8146072143,52.7111111111,22.2222222222
44.8146072143,57.4555555556,23.1222222222
45.8146072143,61.8555555556,24.2
46.8146072143,64.3555555556,25.2444444444
47.8146072143,67.8666666667,26.1444444444
48.8146072143,70.1888888889,28.5555555556
49.8146072143,71.9666666667,29.9666666667
50.8146072143,73.5,31.8222222222
51.8146072143,74.6333333333,35.1
52.8146072143,75.8777777778,38.5
53.8146072143,76.8222222222,41.2666666667
54.8146072143,77.7777777778,45.4
55.8146072143,77.7777777778,49.2444444444
56.8146072143,77.7777777778,53.7555555556
58.8146072143,77.7777777778,57.2777777778
59.8146072143,77.7777777778,61.5555555556
60.8146072143,77.7777777778,65.5111111111
61.8146072143,77.7777777778,69.6666666667
62.8146072143,77.7777777778,73.9111111111
63.8146072143,77.7777777778,77.9555555556
64.8146072143,77.7777777778,82.1777777778
65.8146072143,77.7777777778,85.7
66.8146072143,78.9,88.8222222222
67.8146072143,79.4777777778,90.9555555556
68.8146072143,80.8666666667,93.2111111111
69.8146072143,81.7666666667,94.7777777778
70.8146072143,82.9,97.0666666667
71.8146072143,83.5333333333,97.8777777778
72.8146072143,85.1666666667,99.0555555556
73.8146072143,85.6,100.0
74.8146072143,86.9,100.0
75.8146072143,87.9333333333,100.0
76.8146072143,88.8888888889,100.0
77.8146072143,88.8888888889,100.0
78.8146072143,88.8888888889,100.0
79.8146072143,88.8888888889,100.0
80.8146072143,88.8888888889,100.0
81.8146072143,88.8888888889,100.0
82.8146072143,88.8888888889,100.0
83.8146072143,88.8888888889,100.0
84.8146072143,88.8888888889,100.0
85.8146072143,88.8888888889,100.0
86.8146072143,88.8888888889,100.0
87.8146072143,88.8888888889,100.0
88.8146072143,88.8888888889,100.0
89.8146072143,88.8888888889,100.0
90.8146072143,88.8888888889,100.0
91.8146072143,88.8888888889,100.0
92.8146072143,88.8888888889,100.0
93.8146072143,88.8888888889,100.0
94.8146072143,88.8888888889,100.0
95.8146072143,88.8888888889,100.0
96.8146072143,88.8888888889,100.0
97.8146072143,88.8888888889,100.0
98.8146072143,88.8888888889,100.0
99.8146072143,88.8888888889,100.0
100,100,100
