votes,seatsR,seatsD
0,0,0
0.719723318359,0.0,0.0
1.71972331836,0.0,0.0
2.71972331836,0.0,0.0
3.71972331836,0.0,0.0
4.71972331836,0.0,0.0
5.71972331836,0.0,0.0
6.71972331836,0.0,0.0
7.71972331836,0.0,0.0
8.71972331836,0.0,0.0
9.71972331836,0.0,0.0
10.7197233184,0.0,0.0
11.7197233184,0.0,0.0
12.7197233184,0.0,0.0
13.7197233184,0.0,0.0
14.7197233184,0.0,0.0
15.7197233184,0.0,0.0
16.7197233184,0.0,0.0
17.7197233184,0.0,0.0
18.7197233184,0.0,0.0
19.7197233184,0.0,0.0
20.7197233184,0.0,0.0
21.7197233184,0.0,0.0
22.7197233184,0.0,0.0
23.7197233184,0.0,0.0
24.7197233184,0.0,0.0
25.7197233184,0.0,0.0
26.7197233184,0.0,0.0
27.7197233184,0.0,0.0
28.7197233184,0.0,0.0
29.7197233184,0.0,0.0
31.7197233184,0.0,0.0
32.7197233184,0.0,0.0
33.7197233184,0.0,0.0
34.7197233184,0.0,0.0
35.7197233184,0.0,0.0
36.7197233184,0.0,0.0
37.7197233184,0.0,0.0
38.7197233184,0.0,0.0
39.7197233184,0.911111111111,0.0
40.7197233184,1.97777777778,0.0
41.7197233184,2.93333333333,0.966666666667
42.7197233184,5.27777777778,4.17777777778
43.7197233184,7.06666666667,7.08888888889
44.7197233184,9.4,11.3222222222
45.7197233184,13.1555555556,18.1222222222
46.7197233184,18.0111111111,24.9777777778
47.7197233184,24.6777777778,32.1777777778
48.7197233184,31.6888888889,39.7777777778
49.7197233184,39.3111111111,47.0444444444
50.7197233184,46.8666666667,55.8444444444
51.7197233184,55.9111111111,63.6444444444
52.7197233184,63.1333333333,71.5777777778
53.7197233184,70.7333333333,77.5666666667
54.7197233184,78.1777777778,84.1888888889
55.7197233184,84.8111111111,88.7333333333
56.7197233184,89.6777777778,90.6
57.7197233184,94.0222222222,92.9333333333
58.7197233184,96.8555555556,94.7222222222
59.7197233184,99.0333333333,97.0666666667
60.7197233184,100.0,98.0222222222
61.7197233184,100.0,99.0888888889
62.7197233184,100.0,100.0
63.7197233184,100.0,100.0
64.7197233184,100.0,100.0
65.7197233184,100.0,100.0
66.7197233184,100.0,100.0
67.7197233184,100.0,100.0
68.7197233184,100.0,100.0
69.7197233184,100.0,100.0
70.7197233184,100.0,100.0
71.7197233184,100.0,100.0
72.7197233184,100.0,100.0
73.7197233184,100.0,100.0
74.7197233184,100.0,100.0
75.7197233184,100.0,100.0
76.7197233184,100.0,100.0
77.7197233184,100.0,100.0
78.7197233184,100.0,100.0
79.7197233184,100.0,100.0
80.7197233184,100.0,100.0
81.7197233184,100.0,100.0
82.7197233184,100.0,100.0
83.7197233184,100.0,100.0
84.7197233184,100.0,100.0
85.7197233184,100.0,100.0
86.7197233184,100.0,100.0
87.7197233184,100.0,100.0
88.7197233184,100.0,100.0
89.7197233184,100.0,100.0
90.7197233184,100.0,100.0
91.7197233184,100.0,100.0
92.7197233184,100.0,100.0
93.7197233184,100.0,100.0
94.7197233184,100.0,100.0
95.7197233184,100.0,100.0
96.7197233184,100.0,100.0
97.7197233184,100.0,100.0
98.7197233184,100.0,100.0
99.7197233184,100.0,100.0
100,100,100
