votesR,seatsR,votesD,seatsD
0,0,0,0
0.0849500383693,0.0,0.915049961631,0.0
1.08495003837,0.0,1.91504996163,0.0
2.08495003837,0.0,2.91504996163,0.0
3.08495003837,0.0,3.91504996163,0.0
4.08495003837,0.0,4.91504996163,0.0
5.08495003837,0.0,5.91504996163,0.0
6.08495003837,0.0,6.91504996163,0.0
7.08495003837,0.0,7.91504996163,0.0
8.08495003837,0.0,8.91504996163,0.0
9.08495003837,0.0,9.91504996163,0.0
10.0849500384,0.0,10.9150499616,0.0
11.0849500384,0.0,11.9150499616,0.0
12.0849500384,0.0,12.9150499616,0.0
13.0849500384,0.0,13.9150499616,0.0
14.0849500384,0.0,14.9150499616,0.0
15.0849500384,0.0,15.9150499616,0.0
16.0849500384,0.0,16.9150499616,0.0
17.0849500384,0.0,17.9150499616,0.0
18.0849500384,0.0,18.9150499616,0.0
19.0849500384,0.0,19.9150499616,0.0
20.0849500384,0.0,20.9150499616,0.0
21.0849500384,0.0,21.9150499616,0.0
22.0849500384,0.0,22.9150499616,0.0
23.0849500384,0.0,23.9150499616,0.0
24.0849500384,0.0,24.9150499616,0.0
25.0849500384,0.0,25.9150499616,0.0
26.0849500384,0.0,26.9150499616,0.0
27.0849500384,0.0,27.9150499616,0.0
28.0849500384,0.0,28.9150499616,0.0
29.0849500384,0.0,29.9150499616,0.0
30.0849500384,0.0,30.9150499616,0.0
31.0849500384,0.0,31.9150499616,0.0
32.0849500384,0.0,32.9150499616,0.0
33.0849500384,0.0,33.9150499616,0.0
34.0849500384,0.0,34.9150499616,0.0
35.0849500384,0.0,35.9150499616,0.0
36.0849500384,0.0,36.9150499616,0.0
37.0849500384,0.0,37.9150499616,0.0
38.0849500384,0.0,38.9150499616,0.0
39.0849500384,0.0,39.9150499616,0.0
40.0849500384,0.0,40.9150499616,0.0
41.0849500384,0.0,42.9150499616,0.0
42.0849500384,0.0,43.9150499616,0.0
43.0849500384,0.0,44.9150499616,0.0
44.0849500384,0.0,45.9150499616,0.0
45.0849500384,0.0,46.9150499616,17.0
46.0849500384,0.0,47.9150499616,34.3
47.0849500384,0.0,48.9150499616,50.9
48.0849500384,0.0,49.9150499616,67.3
49.0849500384,17.9,50.9150499616,82.1
50.0849500384,32.7,51.9150499616,100.0
51.0849500384,49.1,52.9150499616,100.0
52.0849500384,65.7,53.9150499616,100.0
53.0849500384,83.0,54.9150499616,100.0
54.0849500384,100.0,55.9150499616,100.0
55.0849500384,100.0,56.9150499616,100.0
56.0849500384,100.0,57.9150499616,100.0
57.0849500384,100.0,58.9150499616,100.0
59.0849500384,100.0,59.9150499616,100.0
60.0849500384,100.0,60.9150499616,100.0
61.0849500384,100.0,61.9150499616,100.0
62.0849500384,100.0,62.9150499616,100.0
63.0849500384,100.0,63.9150499616,100.0
64.0849500384,100.0,64.9150499616,100.0
65.0849500384,100.0,65.9150499616,100.0
66.0849500384,100.0,66.9150499616,100.0
67.0849500384,100.0,67.9150499616,100.0
68.0849500384,100.0,68.9150499616,100.0
69.0849500384,100.0,69.9150499616,100.0
70.0849500384,100.0,70.9150499616,100.0
71.0849500384,100.0,71.9150499616,100.0
72.0849500384,100.0,72.9150499616,100.0
73.0849500384,100.0,73.9150499616,100.0
74.0849500384,100.0,74.9150499616,100.0
75.0849500384,100.0,75.9150499616,100.0
76.0849500384,100.0,76.9150499616,100.0
77.0849500384,100.0,77.9150499616,100.0
78.0849500384,100.0,78.9150499616,100.0
79.0849500384,100.0,79.9150499616,100.0
80.0849500384,100.0,80.9150499616,100.0
81.0849500384,100.0,81.9150499616,100.0
82.0849500384,100.0,82.9150499616,100.0
83.0849500384,100.0,83.9150499616,100.0
84.0849500384,100.0,84.9150499616,100.0
85.0849500384,100.0,85.9150499616,100.0
86.0849500384,100.0,86.9150499616,100.0
87.0849500384,100.0,87.9150499616,100.0
88.0849500384,100.0,88.9150499616,100.0
89.0849500384,100.0,89.9150499616,100.0
90.0849500384,100.0,90.9150499616,100.0
91.0849500384,100.0,91.9150499616,100.0
92.0849500384,100.0,92.9150499616,100.0
93.0849500384,100.0,93.9150499616,100.0
94.0849500384,100.0,94.9150499616,100.0
95.0849500384,100.0,95.9150499616,100.0
96.0849500384,100.0,96.9150499616,100.0
97.0849500384,100.0,97.9150499616,100.0
98.0849500384,100.0,98.9150499616,100.0
99.0849500384,100.0,99.9150499616,100.0
100,100,100,100
