votes,seatsR,seatsD
0,0,0
0.272495050919,0.0,0.0
1.27249505092,0.0,0.0
2.27249505092,0.0,0.0
3.27249505092,0.0,0.0
4.27249505092,0.0,0.0
5.27249505092,0.0,0.0
6.27249505092,0.0,0.0
7.27249505092,0.0,0.0
8.27249505092,0.0,0.0
9.27249505092,0.0,0.0
10.2724950509,0.0,0.0
11.2724950509,0.0,0.0
12.2724950509,0.0,0.0
13.2724950509,0.0,0.0
14.2724950509,0.0,0.0
15.2724950509,0.0,0.0
16.2724950509,0.0,0.0
17.2724950509,0.0,0.0
18.2724950509,0.0,0.0
19.2724950509,0.0,0.0
20.2724950509,0.0,0.0
21.2724950509,0.0,0.0
22.2724950509,0.0,0.0
23.2724950509,0.0,0.0
24.2724950509,0.0,0.0
25.2724950509,0.0,0.0
26.2724950509,0.0,0.0
27.2724950509,0.0,0.0
28.2724950509,0.0,0.0
29.2724950509,0.0,0.0
30.2724950509,0.0,2.86666666667
31.2724950509,0.0,5.46666666667
32.2724950509,0.0,8.73333333333
33.2724950509,0.0,12.0
34.2724950509,3.2,12.2
35.2724950509,5.8,14.6333333333
36.2724950509,8.66666666667,18.1666666667
37.2724950509,12.0333333333,20.5
38.2724950509,16.0666666667,24.0
39.2724950509,18.1,27.2333333333
40.2724950509,25.4666666667,30.1333333333
41.2724950509,31.1,33.3333333333
42.2724950509,36.1,33.3333333333
43.2724950509,42.5666666667,33.3333333333
44.2724950509,48.2666666667,33.3333333333
45.2724950509,51.6333333333,33.3333333333
46.2724950509,54.4,33.3333333333
47.2724950509,57.0666666667,33.3333333333
48.2724950509,60.7333333333,33.3333333333
49.2724950509,63.7666666667,36.2333333333
50.2724950509,66.6666666667,39.2666666667
51.2724950509,66.6666666667,42.9333333333
52.2724950509,66.6666666667,45.6
53.2724950509,66.6666666667,48.3666666667
54.2724950509,66.6666666667,51.7333333333
55.2724950509,66.6666666667,57.4333333333
56.2724950509,66.6666666667,63.9
57.2724950509,66.6666666667,68.9
58.2724950509,66.6666666667,74.5333333333
59.2724950509,70.1,81.9
60.2724950509,72.6,83.9333333333
61.2724950509,76.5666666667,87.9666666667
62.2724950509,79.1,91.3333333333
63.2724950509,82.0666666667,94.2
64.2724950509,84.5,96.8
66.2724950509,85.2333333333,100.0
67.2724950509,88.2,100.0
68.2724950509,91.6,100.0
69.2724950509,94.3666666667,100.0
70.2724950509,97.0,100.0
71.2724950509,100.0,100.0
72.2724950509,100.0,100.0
73.2724950509,100.0,100.0
74.2724950509,100.0,100.0
75.2724950509,100.0,100.0
76.2724950509,100.0,100.0
77.2724950509,100.0,100.0
78.2724950509,100.0,100.0
79.2724950509,100.0,100.0
80.2724950509,100.0,100.0
81.2724950509,100.0,100.0
82.2724950509,100.0,100.0
83.2724950509,100.0,100.0
84.2724950509,100.0,100.0
85.2724950509,100.0,100.0
86.2724950509,100.0,100.0
87.2724950509,100.0,100.0
88.2724950509,100.0,100.0
89.2724950509,100.0,100.0
90.2724950509,100.0,100.0
91.2724950509,100.0,100.0
92.2724950509,100.0,100.0
93.2724950509,100.0,100.0
94.2724950509,100.0,100.0
95.2724950509,100.0,100.0
96.2724950509,100.0,100.0
97.2724950509,100.0,100.0
98.2724950509,100.0,100.0
99.2724950509,100.0,100.0
100,100,100
