votesR,seatsR,votesD,seatsD
0,0,0,0
0.430762725286,0.0,0.569237274714,0.0
1.43076272529,0.0,1.56923727471,0.0
2.43076272529,0.0,2.56923727471,0.0
3.43076272529,0.0,3.56923727471,0.0
4.43076272529,0.0,4.56923727471,0.0
5.43076272529,0.0,5.56923727471,0.0
6.43076272529,0.0,6.56923727471,0.0
7.43076272529,0.0,7.56923727471,0.0
8.43076272529,0.0,8.56923727471,0.0
9.43076272529,0.0,9.56923727471,0.0
10.4307627253,0.0,10.5692372747,0.0
11.4307627253,0.0,11.5692372747,0.0
12.4307627253,0.0,12.5692372747,0.0
13.4307627253,0.0,13.5692372747,0.0
14.4307627253,0.0,14.5692372747,0.0
15.4307627253,0.0,15.5692372747,0.0
16.4307627253,0.0,16.5692372747,0.0
17.4307627253,0.607407407407,17.5692372747,0.62962962963
18.4307627253,1.28148148148,18.5692372747,2.38888888889
19.4307627253,1.8962962963,19.5692372747,4.33333333333
20.4307627253,2.45925925926,20.5692372747,6.68148148148
21.4307627253,3.08888888889,21.5692372747,10.5333333333
22.4307627253,4.28518518519,22.5692372747,13.8962962963
23.4307627253,5.47037037037,23.5692372747,17.6962962963
24.4307627253,6.71111111111,24.5692372747,20.4703703704
25.4307627253,8.70740740741,25.5692372747,22.6259259259
26.4307627253,11.2296296296,26.5692372747,25.4148148148
27.4307627253,14.2592592593,27.5692372747,26.5740740741
28.4307627253,17.0555555556,28.5692372747,27.737037037
29.4307627253,19.5925925926,29.5692372747,28.4148148148
30.4307627253,22.3222222222,30.5692372747,28.9888888889
31.4307627253,24.7259259259,31.5692372747,30.237037037
32.4307627253,27.2666666667,32.5692372747,31.5444444444
33.4307627253,28.9555555556,33.5692372747,32.6185185185
35.4307627253,33.3333333333,34.5692372747,33.9814814815
36.4307627253,33.8851851852,35.5692372747,35.9222222222
37.4307627253,35.2037037037,36.5692372747,37.7037037037
38.4307627253,36.9925925926,37.5692372747,39.4740740741
39.4307627253,38.9703703704,38.5692372747,40.8444444444
40.4307627253,41.2777777778,39.5692372747,42.5814814815
41.4307627253,43.7814814815,40.5692372747,44.5518518519
42.4307627253,45.5851851852,41.5692372747,45.6518518519
43.4307627253,47.0296296296,42.5692372747,46.9518518519
44.4307627253,47.6,43.5692372747,47.4518518519
45.4307627253,48.1481481481,44.5692372747,48.1481481481
46.4307627253,48.1481481481,45.5692372747,48.7407407407
47.4307627253,48.1481481481,46.5692372747,49.4518518519
48.4307627253,48.1481481481,47.5692372747,49.9888888889
49.4307627253,48.1481481481,48.5692372747,50.6148148148
50.4307627253,48.7925925926,49.5692372747,51.2074074074
51.4307627253,49.3851851852,50.5692372747,51.8518518519
52.4307627253,50.0111111111,51.5692372747,51.8518518519
53.4307627253,50.5481481481,52.5692372747,51.8518518519
54.4307627253,51.2592592593,53.5692372747,51.8518518519
55.4307627253,51.8518518519,54.5692372747,51.8518518519
56.4307627253,52.5481481481,55.5692372747,52.4
57.4307627253,53.0481481481,56.5692372747,52.9703703704
58.4307627253,54.3481481481,57.5692372747,54.4148148148
59.4307627253,55.4481481481,58.5692372747,56.2185185185
60.4307627253,57.4185185185,59.5692372747,58.7222222222
61.4307627253,59.1555555556,60.5692372747,61.0296296296
62.4307627253,60.5259259259,61.5692372747,63.0074074074
63.4307627253,62.2962962963,62.5692372747,64.7962962963
64.4307627253,64.0777777778,63.5692372747,66.1148148148
65.4307627253,66.0185185185,64.5692372747,66.6666666667
66.4307627253,67.3814814815,66.5692372747,71.0444444444
67.4307627253,68.4555555556,67.5692372747,72.7333333333
68.4307627253,69.762962963,68.5692372747,75.2740740741
69.4307627253,71.0111111111,69.5692372747,77.6777777778
70.4307627253,71.5851851852,70.5692372747,80.4074074074
71.4307627253,72.262962963,71.5692372747,82.9444444444
72.4307627253,73.4259259259,72.5692372747,85.7407407407
73.4307627253,74.5851851852,73.5692372747,88.7703703704
74.4307627253,77.3740740741,74.5692372747,91.2925925926
75.4307627253,79.5296296296,75.5692372747,93.2888888889
76.4307627253,82.3037037037,76.5692372747,94.5296296296
77.4307627253,86.1037037037,77.5692372747,95.7148148148
78.4307627253,89.4666666667,78.5692372747,96.9111111111
79.4307627253,93.3185185185,79.5692372747,97.5407407407
80.4307627253,95.6666666667,80.5692372747,98.1037037037
81.4307627253,97.6111111111,81.5692372747,98.7185185185
82.4307627253,99.3703703704,82.5692372747,99.3925925926
83.4307627253,100.0,83.5692372747,100.0
84.4307627253,100.0,84.5692372747,100.0
85.4307627253,100.0,85.5692372747,100.0
86.4307627253,100.0,86.5692372747,100.0
87.4307627253,100.0,87.5692372747,100.0
88.4307627253,100.0,88.5692372747,100.0
89.4307627253,100.0,89.5692372747,100.0
90.4307627253,100.0,90.5692372747,100.0
91.4307627253,100.0,91.5692372747,100.0
92.4307627253,100.0,92.5692372747,100.0
93.4307627253,100.0,93.5692372747,100.0
94.4307627253,100.0,94.5692372747,100.0
95.4307627253,100.0,95.5692372747,100.0
96.4307627253,100.0,96.5692372747,100.0
97.4307627253,100.0,97.5692372747,100.0
98.4307627253,100.0,98.5692372747,100.0
99.4307627253,100.0,99.5692372747,100.0
100,100,100,100
