votes,seatsR,seatsD
0,0,0
0.776924332687,0.0,20.0
1.77692433269,0.0,20.0
2.77692433269,0.0,20.0
3.77692433269,0.0,20.0
4.77692433269,0.0,20.0
5.77692433269,0.0,20.0
6.77692433269,0.0,20.0
7.77692433269,0.0,20.0
8.77692433269,0.0,20.0
9.77692433269,0.0,20.0
10.7769243327,0.0,20.0
11.7769243327,0.0,20.0
12.7769243327,0.0,20.0
13.7769243327,0.0,20.0
14.7769243327,0.0,20.0
15.7769243327,0.0,20.0
16.7769243327,0.0,20.0
17.7769243327,0.0,20.0
18.7769243327,0.0,20.0
19.7769243327,0.0,20.0
20.7769243327,0.0,20.0
21.7769243327,0.0,20.0
22.7769243327,0.0,20.0
23.7769243327,0.0,20.0
24.7769243327,0.0,20.0
25.7769243327,0.0,20.0
26.7769243327,0.0,20.0
27.7769243327,0.0,20.0
28.7769243327,0.0,20.0
29.7769243327,0.0,20.0
30.7769243327,2.24,20.0
31.7769243327,3.06,20.0
32.7769243327,5.94,20.0
33.7769243327,8.94,20.0
34.7769243327,13.18,20.0
35.7769243327,16.6,20.0
36.7769243327,21.7,20.0
37.7769243327,26.9,20.0
38.7769243327,33.3,20.0
39.7769243327,38.24,20.0
40.7769243327,43.58,20.0
41.7769243327,46.72,21.88
42.7769243327,51.4,23.52
43.7769243327,54.52,25.38
44.7769243327,56.7,26.88
45.7769243327,58.26,29.12
46.7769243327,60.0,30.72
47.7769243327,60.0,32.86
48.7769243327,61.74,34.18
49.7769243327,63.66,36.34
50.7769243327,65.82,38.26
51.7769243327,67.14,40.0
52.7769243327,69.28,40.0
53.7769243327,70.88,41.74
54.7769243327,73.12,43.3
55.7769243327,74.62,47.26
56.7769243327,76.48,50.58
57.7769243327,78.12,54.94
58.7769243327,80.0,60.32
59.7769243327,80.0,65.28
60.7769243327,80.0,70.38
61.7769243327,80.0,77.0
62.7769243327,80.0,82.12
63.7769243327,80.0,86.96
65.7769243327,80.0,90.62
66.7769243327,80.0,94.64
67.7769243327,80.0,96.22
68.7769243327,80.0,98.36
69.7769243327,80.0,100.0
70.7769243327,80.0,100.0
71.7769243327,80.0,100.0
72.7769243327,80.0,100.0
73.7769243327,80.0,100.0
74.7769243327,80.0,100.0
75.7769243327,80.0,100.0
76.7769243327,80.0,100.0
77.7769243327,80.0,100.0
78.7769243327,80.0,100.0
79.7769243327,80.0,100.0
80.7769243327,80.0,100.0
81.7769243327,80.0,100.0
82.7769243327,80.0,100.0
83.7769243327,80.0,100.0
84.7769243327,80.0,100.0
85.7769243327,80.0,100.0
86.7769243327,80.0,100.0
87.7769243327,80.0,100.0
88.7769243327,80.0,100.0
89.7769243327,80.0,100.0
90.7769243327,80.0,100.0
91.7769243327,80.0,100.0
92.7769243327,80.0,100.0
93.7769243327,80.0,100.0
94.7769243327,80.0,100.0
95.7769243327,80.0,100.0
96.7769243327,80.0,100.0
97.7769243327,80.0,100.0
98.7769243327,80.0,100.0
99.7769243327,80.0,100.0
100,100,100
