votes,seatsR,seatsD
0,0,0
0.473428075511,0.0,0.0
1.47342807551,0.0,0.0
2.47342807551,0.0,0.0
3.47342807551,0.0,0.0
4.47342807551,0.0,0.0
5.47342807551,0.0,0.0
6.47342807551,0.0,0.0
7.47342807551,0.0,0.0
8.47342807551,0.0,0.0
9.47342807551,0.0,0.0
10.4734280755,0.0,0.0
11.4734280755,0.0,0.0
12.4734280755,0.0,0.0
13.4734280755,0.0,0.0
14.4734280755,0.0,0.0
15.4734280755,0.0,0.0
16.4734280755,0.0,0.0
17.4734280755,0.0,0.0
18.4734280755,0.0,0.0
19.4734280755,0.0,0.0
20.4734280755,0.0,0.0
21.4734280755,0.0,0.0
22.4734280755,0.0,0.0
23.4734280755,0.0,0.0
24.4734280755,0.0,0.0
25.4734280755,0.0,0.0
26.4734280755,0.0,0.0
27.4734280755,0.0,0.0
28.4734280755,0.0,0.0
29.4734280755,0.0,0.0
30.4734280755,0.0,0.0
31.4734280755,0.0,0.0
32.4734280755,0.0,0.0
33.4734280755,0.0,0.0
34.4734280755,0.0,0.0
35.4734280755,0.0,0.0
36.4734280755,0.0,0.0
37.4734280755,2.83333333333,2.9
38.4734280755,6.7,6.1
39.4734280755,8.66666666667,8.53333333333
40.4734280755,11.6,11.9666666667
41.4734280755,14.5333333333,15.0333333333
42.4734280755,21.4333333333,17.9666666667
43.4734280755,27.2333333333,20.6666666667
44.4734280755,32.0,24.2333333333
45.4734280755,39.6666666667,27.7
46.4734280755,44.3333333333,30.5
47.4734280755,51.0333333333,33.3333333333
48.4734280755,55.3,36.3
49.4734280755,57.5333333333,39.3333333333
50.4734280755,60.9666666667,41.8333333333
51.4734280755,64.0333333333,45.9
52.4734280755,69.5,52.5666666667
53.4734280755,72.3,57.2
54.4734280755,75.7666666667,64.4666666667
55.4734280755,79.3333333333,69.9
56.4734280755,82.0333333333,75.9666666667
57.4734280755,84.9666666667,82.6333333333
58.4734280755,88.0333333333,88.4
59.4734280755,91.4666666667,91.3333333333
60.4734280755,93.9,93.3
61.4734280755,97.1,97.1666666667
62.4734280755,100.0,100.0
63.4734280755,100.0,100.0
64.4734280755,100.0,100.0
65.4734280755,100.0,100.0
67.4734280755,100.0,100.0
68.4734280755,100.0,100.0
69.4734280755,100.0,100.0
70.4734280755,100.0,100.0
71.4734280755,100.0,100.0
72.4734280755,100.0,100.0
73.4734280755,100.0,100.0
74.4734280755,100.0,100.0
75.4734280755,100.0,100.0
76.4734280755,100.0,100.0
77.4734280755,100.0,100.0
78.4734280755,100.0,100.0
79.4734280755,100.0,100.0
80.4734280755,100.0,100.0
81.4734280755,100.0,100.0
82.4734280755,100.0,100.0
83.4734280755,100.0,100.0
84.4734280755,100.0,100.0
85.4734280755,100.0,100.0
86.4734280755,100.0,100.0
87.4734280755,100.0,100.0
88.4734280755,100.0,100.0
89.4734280755,100.0,100.0
90.4734280755,100.0,100.0
91.4734280755,100.0,100.0
92.4734280755,100.0,100.0
93.4734280755,100.0,100.0
94.4734280755,100.0,100.0
95.4734280755,100.0,100.0
96.4734280755,100.0,100.0
97.4734280755,100.0,100.0
98.4734280755,100.0,100.0
99.4734280755,100.0,100.0
100,100,100
