votes,seatsR,seatsD
0,0,0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0,0.0
16.0,0.0,0.0
17.0,0.0,0.0
18.0,0.0,0.0
19.0,0.0,0.0
20.0,0.0,0.0
21.0,0.0,0.0
22.0,0.0,0.0
23.0,0.0,0.0
24.0,0.0,0.0
25.0,0.0,0.0
26.0,0.0,0.0
27.0,0.0,0.0
28.0,0.0,0.0
29.0,0.0,0.0
30.0,3.68,3.32
31.0,6.38,6.84
32.0,9.68,9.9
33.0,13.82,13.42
34.0,17.16,16.84
35.0,23.56,20.0
36.0,26.6,20.0
37.0,29.98,20.0
38.0,33.24,20.0
39.0,36.64,20.0
40.0,40.0,23.34
41.0,40.0,26.58
42.0,40.0,30.38
43.0,40.0,33.3
44.0,40.0,36.48
45.0,40.0,43.44
46.0,40.0,46.64
47.0,40.0,49.82
48.0,40.0,53.36
49.0,40.0,56.38
51.0,40.0,60.0
52.0,43.36,60.0
53.0,47.06,60.0
54.0,50.0,60.0
55.0,53.32,60.0
56.0,56.28,60.0
57.0,63.42,60.0
58.0,66.3,60.0
59.0,70.22,60.0
60.0,73.56,60.0
61.0,76.34,60.0
62.0,80.0,63.5
63.0,80.0,66.62
64.0,80.0,69.7
65.0,80.0,72.94
66.0,80.0,79.48
67.0,83.44,86.18
68.0,86.36,90.32
69.0,89.88,90.1
70.0,93.6,93.16
71.0,97.24,96.54
72.0,100.0,100.0
73.0,100.0,100.0
74.0,100.0,100.0
75.0,100.0,100.0
76.0,100.0,100.0
77.0,100.0,100.0
78.0,100.0,100.0
79.0,100.0,100.0
80.0,100.0,100.0
81.0,100.0,100.0
82.0,100.0,100.0
83.0,100.0,100.0
84.0,100.0,100.0
85.0,100.0,100.0
86.0,100.0,100.0
87.0,100.0,100.0
88.0,100.0,100.0
89.0,100.0,100.0
90.0,100.0,100.0
91.0,100.0,100.0
92.0,100.0,100.0
93.0,100.0,100.0
94.0,100.0,100.0
95.0,100.0,100.0
96.0,100.0,100.0
97.0,100.0,100.0
98.0,100.0,100.0
99.0,100.0,100.0
100,100,100
